cohort,seed,pre.shock_minus_control.top_occ,pre.shock_minus_control.TR_occ,pre.shock_minus_control.bottom_occ,pre.shock_minus_control.body_state_mean,pre.shock_minus_control.body_u_mean,pre.shock_minus_control.obs_pe_mean,pre.shock_minus_control.q_UP_minus_DOWN_mean,pre.shock_minus_control.pred_trend_UP_minus_DOWN_mean,pre.shock_minus_control.alpha_mean,pre.shock_minus_control.g_norm_mean,pre.shock_minus_control.g_delta_norm_mean,shock.shock_minus_control.top_occ,shock.shock_minus_control.TR_occ,shock.shock_minus_control.bottom_occ,shock.shock_minus_control.body_state_mean,shock.shock_minus_control.body_u_mean,shock.shock_minus_control.obs_pe_mean,shock.shock_minus_control.q_UP_minus_DOWN_mean,shock.shock_minus_control.pred_trend_UP_minus_DOWN_mean,shock.shock_minus_control.alpha_mean,shock.shock_minus_control.g_norm_mean,shock.shock_minus_control.g_delta_norm_mean,recovery.shock_minus_control.top_occ,recovery.shock_minus_control.TR_occ,recovery.shock_minus_control.bottom_occ,recovery.shock_minus_control.body_state_mean,recovery.shock_minus_control.body_u_mean,recovery.shock_minus_control.obs_pe_mean,recovery.shock_minus_control.q_UP_minus_DOWN_mean,recovery.shock_minus_control.pred_trend_UP_minus_DOWN_mean,recovery.shock_minus_control.alpha_mean,recovery.shock_minus_control.g_norm_mean,recovery.shock_minus_control.g_delta_norm_mean,did_residue.top_occ,did_residue.TR_occ,did_residue.bottom_occ,did_residue.body_state_mean,did_residue.body_u_mean,did_residue.obs_pe_mean,did_residue.q_UP_minus_DOWN_mean,did_residue.pred_trend_UP_minus_DOWN_mean,did_residue.alpha_mean,did_residue.g_norm_mean,did_residue.g_delta_norm_mean
full,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19798766225576403,-0.8139884597191267,0.002729805128183216,0.03890407793223858,0.0200799610465765,-0.012275467440485952,-0.015630686283111483,-0.0018804546212777499,0.0,0.0,0.0,-0.2793254539370537,-1.2545103701838738,0.0029793845591484566,0.046047512814402586,0.02449712660163641,0.004372116085141896,-0.005553773045539945,0.0010053598904050881,0.0,0.0,0.0,-0.2793254539370537,-1.2545103701838736,0.0029793845591484566,0.046047512814402586,0.02449712660163641,0.004372116085141896,-0.005553773045539945,0.0010053598904050942
full,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1979940369725227,-0.8139884597191267,0.0025575975771062074,-0.02048534825444223,-0.004964533820748324,-0.06356375552713871,-0.04980279207229632,0.016927055362612006,0.012499999999999956,0.012499999999999956,0.0,-0.2746125474572182,-1.2277070228526605,0.003842024135519751,-0.008157852478325345,-0.001558645907789466,-0.0018829830922186402,-0.0179472595453265,0.014009289129171522,0.012499999999999956,0.012499999999999956,0.0,-0.2746125474572182,-1.2277070228526603,0.003842024135519751,-0.008157852478325345,-0.001558645907789466,-0.0018829830922186402,-0.0179472595453265,0.014009289129171515
full,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19754116982221603,-0.8139884597191268,0.000721211708150803,0.023773561790585512,0.012412787228822705,-0.0009424023330211612,-0.024184334278106956,0.019028145959600805,0.0,0.0,0.0,-0.2914150454103947,-1.2547853817956862,0.002336524359998293,0.0400478634983301,0.021912521356716758,0.00465257437899709,-0.02438851594924918,0.008853526250459253,0.0,0.0,0.0,-0.2914150454103947,-1.2547853817956862,0.002336524359998293,0.0400478634983301,0.021912521356716758,0.00465257437899709,-0.02438851594924918,0.008853526250459251
full,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18823574855923653,-0.813988459719127,0.002690685592824593,-0.011948426067829143,-0.008089444786310199,-0.0009253211319446564,-0.05760536193847665,0.025646819779649374,0.024999999999999994,0.024999999999999994,0.0,-0.274546904861927,-1.238898668871509,0.007293372426647692,-0.056555973738431936,-0.02795182866975665,-0.0003912718966603279,-0.0696834921836853,0.005652598850429057,0.024999999999999994,0.024999999999999994,0.0,-0.274546904861927,-1.238898668871509,0.007293372426647692,-0.056555973738431936,-0.02795182866975665,-0.0003912718966603279,-0.0696834921836853,0.005652598850429062
full,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17349578216671946,-0.8139884597191265,0.004784733429551125,-0.006934606283903133,-0.004469554498791689,0.005206058174371711,-0.004704415798187256,0.033329107938334344,0.1125,0.1125,-0.22499999999999998,-0.19458344504237174,-1.0267232801474067,0.007517964270664378,0.0009974503889680075,0.004849410103634003,0.022951603122055533,0.0553641200065611,0.006270878954092039,0.1125,0.1125,-0.22499999999999998,-0.19458344504237174,-1.0267232801474067,0.007517964270664378,0.0009974503889680075,0.004849410103634003,0.022951603122055533,0.0553641200065611,0.006270878954092042
full,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1976017832756043,-0.8139884597191267,0.0019235517946071916,0.048874279484152794,0.02558633051812649,0.0014686197042465265,-0.018081629276275546,0.01749699884094298,-0.04999999999999993,-0.04999999999999993,0.0,-0.2959161035716534,-1.2926566027604665,0.002425660155131482,0.0510097999125719,0.026909395889379087,0.0004245853051543236,-0.009133082628249856,0.00210655918926932,-0.050000000000000044,-0.050000000000000044,0.0,-0.2959161035716534,-1.2926566027604662,0.002425660155131482,0.0510097999125719,0.026909395889379087,0.0004245853051543236,-0.009133082628249856,0.0021065591892693164
full,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1976017832756043,-0.8139884597191267,0.0018459124607034024,0.02973490208387375,0.012702335976064204,-0.009228563681244854,-0.01591371297836286,0.004447004664689301,-0.0625,-0.0625,0.0,-0.3115977942943573,-1.3460218654234066,0.0040496248955605545,0.039276917651295665,0.0169610217679292,0.00821914821863174,-0.006739971041679116,0.0057809408230241385,-0.062499999999999944,-0.062499999999999944,0.0,-0.3115977942943573,-1.3460218654234068,0.0040496248955605545,0.039276917651295665,0.0169610217679292,0.00821914821863174,-0.006739971041679116,0.005780940823024147
no_body_in_g,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14898096732795238,-0.8139884597191264,-4.086569533683429e-05,-0.004449173808097839,-0.0022111129015684183,-0.00042726919054985116,-0.0022702097892759454,0.00048995721153915,0.0,0.0,-0.03749999999999998,-0.15849472284317018,-1.1904956543034606,0.00041886084072757616,0.025325561873614788,0.010822180658578873,0.00023120548576116562,-0.0017891317605975843,0.0007977511617355045,0.0,0.0,-0.03749999999999998,-0.15849472284317015,-1.1904956543034604,0.00041886084072757616,0.025325561873614788,0.010822180658578873,0.00023120548576116562,-0.0017891317605975843,0.0007977511617355063
no_body_in_g,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19562421366572375,-0.8139884597191267,0.0009252086165361106,0.023029951378703117,0.010735043883323678,0.006613935157656667,0.018102383613586515,0.004198223119601607,0.0,0.0,0.0,-0.29032429903745655,-1.2541830026727367,0.0037348506331909455,0.01805714368820191,0.008687395788729194,0.0008641338907182244,0.008592444658279241,0.001105249463580548,0.0,0.0,0.0,-0.29032429903745655,-1.2541830026727365,0.0037348506331909455,0.01805714368820191,0.008687395788729194,0.0008641338907182244,0.008592444658279241,0.0011052494635805515
no_body_in_g,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1960036590695381,-0.8139884597191269,0.00043730697361752356,0.013133839517831813,0.00517228357493877,-0.02663614116609097,-0.008315837383270352,-0.006247974059078842,0.0,0.0,0.0,-0.2791730262339115,-1.2541830026727372,0.0009175497747492042,0.022358652297407383,0.01167474151588977,0.008639682270586493,-0.003038361668586731,0.0006007543561281636,0.0,0.0,0.0,-0.2791730262339115,-1.254183002672737,0.0009175497747492042,0.022358652297407383,0.01167474151588977,0.008639682270586493,-0.003038361668586731,0.0006007543561281636
no_body_in_g,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19607693329453468,-0.8139884597191266,-0.0010771413857582962,0.00998474657535553,0.001728127896785725,-0.011565717309713362,-0.01046985387802124,-0.00127612822689116,0.0,0.0,0.0,-0.30182039141654965,-1.2611071878009659,-0.001341469738690649,-0.001971544697880745,-0.0032414174638688564,0.007463925890624522,-0.0018707603216170376,0.00254383974825032,0.0,0.0,0.0,-0.30182039141654965,-1.2611071878009659,-0.001341469738690649,-0.001971544697880745,-0.0032414174638688564,0.007463925890624522,-0.0018707603216170376,0.002543839748250322
