cohort,seed,condition,outdir,pre.top_occ,pre.TR_occ,pre.bottom_occ,pre.body_state_mean,pre.body_u_mean,pre.obs_pe_mean,pre.q_UP_minus_DOWN_mean,pre.pred_trend_UP_minus_DOWN_mean,pre.alpha_mean,pre.g_norm_mean,pre.g_delta_norm_mean,shock.top_occ,shock.TR_occ,shock.bottom_occ,shock.body_state_mean,shock.body_u_mean,shock.obs_pe_mean,shock.q_UP_minus_DOWN_mean,shock.pred_trend_UP_minus_DOWN_mean,shock.alpha_mean,shock.g_norm_mean,shock.g_delta_norm_mean,recovery.top_occ,recovery.TR_occ,recovery.bottom_occ,recovery.body_state_mean,recovery.body_u_mean,recovery.obs_pe_mean,recovery.q_UP_minus_DOWN_mean,recovery.pred_trend_UP_minus_DOWN_mean,recovery.alpha_mean,recovery.g_norm_mean,recovery.g_delta_norm_mean,residue.top_occ,residue.TR_occ,residue.bottom_occ,residue.body_state_mean,residue.body_u_mean,residue.obs_pe_mean,residue.q_UP_minus_DOWN_mean,residue.pred_trend_UP_minus_DOWN_mean,residue.alpha_mean,residue.g_norm_mean,residue.g_delta_norm_mean
no_body_in_g,20,body_shock,outputs/p3_v3_assay/no_body_in_g/s20/body_shock,0.25,0.25,0.0,0.49853206872940065,-0.0058786321101981535,0.011165437567979098,0.1824166310330232,0.09034118168056011,0.06657053828239441,2.793871757388115,0.06339514429370562,0.35,0.35,0.0,0.33803607523441315,-0.6966087452425249,0.008251195785123854,0.250404342263937,0.1286574050784111,0.03434130810201168,3.2887241005897523,0.011835920554585756,0.2375,0.2375,0.0375,0.24423420783132316,-1.1333069778894806,0.014357760074199177,0.22385839205235242,0.11621596459299326,0.04763469127938151,3.3469825476408004,0.011009180068504066,-0.012500000000000011,-0.012500000000000011,0.0375,-0.2542978608980775,-1.1274283457792824,0.003192322506220079,0.041441761019329226,0.025874782912433142,-0.0189358470030129,0.5531107902526853,-0.05238596422520155
no_body_in_g,20,control,outputs/p3_v3_assay/no_body_in_g/s20/control,0.25,0.25,0.0,0.49853206872940065,-0.0058786321101981535,0.011165437567979098,0.1824166310330232,0.09034118168056011,0.06657053828239441,2.793871757388115,0.06339514429370562,0.35,0.35,0.0,0.5292949348688125,0.11737971447660209,0.007612245256314054,0.2490020751953125,0.12976257354021073,0.06379484422504902,3.303560698032379,0.012437466229312123,0.2375,0.2375,0.0375,0.5300864387303591,0.12087602478325357,0.01183036049187649,0.21601366363465785,0.11079550115391612,0.05731525626033544,3.35526556968689,0.010272634809371083,-0.012500000000000011,-0.012500000000000011,0.0375,0.031554370000958454,0.12675465689345172,0.0006649229238973927,0.03359703260163466,0.020454319473356006,-0.00925528202205897,0.5613938122987747,-0.05312250948433453
no_body_in_g,21,body_shock,outputs/p3_v3_assay/no_body_in_g/s21/body_shock,0.2833333333333333,0.2833333333333333,0.0,0.5024471491575241,0.009835067681428996,0.009767625292685505,0.23874397799372674,0.12323290643592676,0.0412552730490764,2.4138902820646764,0.05434901428719362,1.0,1.0,0.0,0.3760813042521477,-0.5217299405831007,0.00591011238284409,0.17557562738656998,0.09960643611848355,0.030433495342731477,3.088524615764618,0.012302486458793283,0.5125,0.5125,0.0,0.3533668704330921,-0.6126689280145908,0.007054572616470978,0.1883245248347521,0.10448506260290742,0.03765330677852034,3.26051579117775,0.009482423501322047,0.22916666666666663,0.22916666666666663,0.0,-0.14908027872443197,-0.6225039956960198,-0.0027130526762145267,-0.05041945315897464,-0.018747843833019334,-0.003601966270556055,0.8466255091130734,-0.044866590785871574
no_body_in_g,21,control,outputs/p3_v3_assay/no_body_in_g/s21/control,0.2833333333333333,0.2833333333333333,0.0,0.5024471491575241,0.009835067681428996,0.009767625292685505,0.23874397799372674,0.12323290643592676,0.0412552730490764,2.4138902820646764,0.05434901428719362,1.0,1.0,0.0,0.5724296540021896,0.2922585191360259,0.006056885054567829,0.17047856971621514,0.09782469645142555,0.03528241515159607,3.0981603264808655,0.013097694143652916,0.5125,0.5125,0.0,0.654640493541956,0.6416243507122512,0.0068973969071521425,0.19288566699251533,0.10594441033899785,0.03410233277827501,3.2624281525611876,0.008473063498968259,0.22916666666666663,0.22916666666666663,0.0,0.15219334438443188,0.6317892830308223,-0.002870228385533362,-0.045858311001211405,-0.01728849609692891,-0.007152940270801385,0.8485378704965112,-0.04587595078822536
no_body_in_g,22,body_shock,outputs/p3_v3_assay/no_body_in_g/s22/body_shock,0.6,0.6,0.0,0.5568592553337415,0.23126236453385557,0.017463924708620956,0.15283325823644797,0.08029694420595963,0.057924940312902136,2.570638766636451,0.06501402977543573,1.0,1.0,0.0,0.4986814022064209,-0.005326413278127301,0.006586009118473157,0.07878559976816177,0.042444218322634696,0.036247668415308,3.1755309462547303,0.015193935693241655,1.0,1.0,0.0,0.5538725055754185,0.22505199139107682,0.009198986952833365,0.08125324575230479,0.0443976410664618,0.05224604699760675,3.2554750055074693,0.014756960421800613,0.4,0.4,0.0,-0.0029867497583230262,-0.006210373142778752,-0.00826493775578759,-0.07158001248414318,-0.03589930313949783,-0.005678893315295384,0.6848362388710183,-0.050257069353635116
no_body_in_g,22,control,outputs/p3_v3_assay/no_body_in_g/s22/control,0.6,0.6,0.0,0.5568592553337415,0.23126236453385557,0.017463924708620956,0.15283325823644797,0.08029694420595963,0.057924940312902136,2.570638766636451,0.06501402977543573,1.0,1.0,0.0,0.6914760619401932,0.8086620464409997,0.006413462164346129,0.06862685680389405,0.038514326140284535,0.06322153955698014,3.2043337225914,0.020849797828122973,1.0,1.0,0.0,0.8108597569167614,1.4789566608476488,0.007702114306448493,0.06509058531373739,0.035915800649672744,0.05214716922491789,3.2698457151651383,0.013650175521615893,0.4,0.4,0.0,0.2540005015830199,1.2476942963137931,-0.009761810402172463,-0.08774267292271058,-0.04438114355628689,-0.005777771087984246,0.6992069485286874,-0.05136385425381984
no_body_in_g,23,control,outputs/p3_v3_assay/no_body_in_g/s23/control,0.6,0.6,0.0,0.5472417965531349,0.19201285339298196,0.013710157352034003,0.14943208247423173,0.08067789971828461,0.03242042424778144,1.9060413951675097,0.05368107268586755,1.0,1.0,0.0,0.6841605961322784,0.7745484840801968,0.006990807375404984,0.06977296248078346,0.03912625070661306,0.030068301409482957,2.955512011051178,0.014879789855331182,0.9875,0.9875,0.0,0.7983314774930477,1.393990154440668,0.00787825224979315,0.0667150542140007,0.03671848627272993,0.030044938996434213,3.237573209404945,0.0071899569680681456,0.38750000000000007,0.38750000000000007,0.0,0.2510896809399128,1.2019773010476862,-0.005831905102240853,-0.08271702826023103,-0.04395941344555468,-0.0023754852513472244,1.3315318142374355,-0.0464911157177994
no_body_in_g,23,body_shock,outputs/p3_v3_assay/no_body_in_g/s23/body_shock,0.6,0.6,0.0,0.5472417965531349,0.19201285339298196,0.013710157352034003,0.14943208247423173,0.08067789971828461,0.03242042424778144,1.9060413951675097,0.05368107268586755,1.0,1.0,0.0,0.4904012158513069,-0.03943997563893038,0.008007644768804311,0.10218419842422008,0.05767207946628332,0.03005598559975624,2.954979431629181,0.01580124218016863,0.9875,0.9875,0.0,0.5336796745657921,0.13980715176792863,0.009736599843017757,0.1020466236397624,0.05766338454559446,0.030064998753368856,3.2360282838344574,0.008654032048070803,0.38750000000000007,0.38750000000000007,0.0,-0.013562121987342746,-0.052205701625053336,-0.003973557509016247,-0.04738545883446933,-0.023014515172690153,-0.0023554254944125816,1.3299868886669477,-0.04502704063779674
no_body_in_g,24,body_shock,outputs/p3_v3_assay/no_body_in_g/s24/body_shock,0.43333333333333335,0.43333333333333335,0.0,0.5340551599860192,0.13723694927293703,0.019526522379601376,0.20476064160466195,0.09704306237399578,0.030925012876590094,1.6921682027479013,0.05075035241122047,1.0,0.95,0.0,0.4321338787674904,-0.2812863375751175,0.012121936283074319,0.20338005647063256,0.1007497563958168,0.030032820254564285,2.788400638103485,0.017108433693647385,0.9,0.9,0.0,0.457820362970233,-0.17432744224762925,0.01379595132311806,0.1829808171838522,0.09117658198811114,0.030048480071127415,3.095491421222687,0.009348790679359809,0.4666666666666667,0.4666666666666667,0.0,-0.07623479701578617,-0.31156439152056625,-0.005730571056483315,-0.02177982442080975,-0.005866480385884637,-0.0008765328054626785,1.4033232184747857,-0.041401561731860666
no_body_in_g,24,control,outputs/p3_v3_assay/no_body_in_g/s24/control,0.43333333333333335,0.43333333333333335,0.0,0.5340551599860192,0.13723694927293703,0.019526522379601376,0.20476064160466195,0.09704306237399578,0.030925012876590094,1.6921682027479013,0.05075035241122047,1.0,0.95,0.0,0.6298807770013809,0.5327021221440095,0.010917214758228511,0.17131128087639808,0.08682678192853928,0.030060841143131255,2.7892053008079527,0.016827491344884038,0.9,0.9,0.0,0.744185283780098,1.0802578388991813,0.00895345919416286,0.15154596287757158,0.07700674100778997,0.0300318730995059,3.0990057051181794,0.008652046363567933,0.4666666666666667,0.4666666666666667,0.0,0.2101301237940788,0.9430208896262442,-0.010573063185438516,-0.053214678727090375,-0.02003632136620581,-0.0008931397770841933,1.4068375023702782,-0.04209830604765254
no_body_in_g,25,control,outputs/p3_v3_assay/no_body_in_g/s25/control,0.016666666666666666,0.016666666666666666,0.05,0.47465754201014837,-0.10154937035499675,0.013917888270225377,0.21690939217805863,0.11038565933704376,0.032550396770238875,1.6406386449933053,0.054491750958065195,0.35,0.35,0.0,0.4801434174180031,-0.07951857615298966,0.007447021163534373,0.21891491189599038,0.12259352914988994,0.03129561170935631,2.8208105683326723,0.018207103293389083,0.1625,0.1625,0.075,0.462274381890893,-0.15177818519324454,0.009857456522877329,0.23999175745993853,0.12257395507767796,0.030649736151099206,3.139641934633255,0.009771116013871506,0.14583333333333334,0.14583333333333334,0.024999999999999994,-0.012383160119255388,-0.05022881483824779,-0.004060431747348048,0.023082365281879902,0.012188295740634195,-0.0019006606191396686,1.4990032896399497,-0.04472063494419369
no_body_in_g,25,body_shock,outputs/p3_v3_assay/no_body_in_g/s25/body_shock,0.016666666666666666,0.016666666666666666,0.05,0.47465754201014837,-0.10154937035499675,0.013917888270225377,0.21690939217805863,0.11038565933704376,0.032550396770238875,1.6406386449933053,0.054491750958065195,0.35,0.35,0.0,0.2966235287487507,-0.8935070358721162,0.008658360841218382,0.23716167733073235,0.1281186319887638,0.056206992268562316,2.9133668899536134,0.029358179587870837,0.2125,0.2125,0.075,0.19960954301059247,-1.391722955710205,0.011395184393040835,0.23797316513955594,0.12080083135515451,0.030569798313081264,3.191952645778656,0.009446689853211865,0.19583333333333333,0.19583333333333333,0.024999999999999994,-0.2750479989995559,-1.2901735853552083,-0.0025227038771845414,0.021063772961497307,0.01041517201811075,-0.0019805984571576105,1.5513140007853508,-0.04504506110485333
no_body_in_g,26,control,outputs/p3_v3_assay/no_body_in_g/s26/control,0.0,0.0,0.13333333333333333,0.46404330631097157,-0.14424826074379007,0.013957268575904892,0.23285821105043095,0.11668114326894283,0.031185553595423698,1.733471759657065,0.05170753824835022,0.0,0.0,0.0,0.4379197612404823,-0.24966227157717147,0.008659491885919125,0.24435423612594603,0.1293044749647379,0.030019088834524154,2.8373202800750734,0.017729698913171887,0.0,0.0,0.125,0.3918664399534464,-0.44405036858059876,0.012393338151741772,0.24778307154774665,0.12435889868065715,0.030010481365025043,3.1543440014123916,0.01018294392270036,0.0,0.0,-0.008333333333333331,-0.07217686635752518,-0.2998021078368087,-0.0015639304241631194,0.0149248604973157,0.007677755411714324,-0.0011750722303986542,1.4208722417553266,-0.04152459432564986
no_body_in_g,26,body_shock,outputs/p3_v3_assay/no_body_in_g/s26/body_shock,0.0,0.0,0.13333333333333333,0.46404330631097157,-0.14424826074379007,0.013957268575904892,0.23285821105043095,0.11668114326894283,0.031185553595423698,1.733471759657065,0.05170753824835022,0.0,0.0,0.0,0.26416508555412294,-1.063650731296298,0.01014018796849996,0.2481560952961445,0.12725532352924346,0.03000989034771919,2.8370899200439452,0.017851850390434264,0.0,0.0,0.125,0.15494352206587791,-1.6982333712533326,0.015129750763298944,0.2351898692548275,0.1159769942983985,0.03001156374812126,3.1537568151950834,0.01043634614907205,0.0,0.0,-0.008333333333333331,-0.30909978424509366,-1.5539851105095426,0.0011724821873940524,0.0023316582043965417,-0.0007041489705443271,-0.0011739898473024368,1.4202850555380184,-0.04127119209927817
no_body_in_g,27,body_shock,outputs/p3_v3_assay/no_body_in_g/s27/body_shock,0.0,0.0,0.8166666666666667,0.37198780179023744,-0.5355406446707185,0.03337186675829192,0.12101678003867468,0.05990125698347886,0.03465758450329304,2.105262699474891,0.05504643932605783,0.0,0.0,0.65,0.12847496923059226,-2.0064833323425395,0.016946210945025086,0.12294535785913467,0.0620230482891202,0.030221082270145416,3.1391046762466432,0.01527198338881135,0.0,0.0,0.7625,0.04454953735694289,-3.075185042798492,0.02242673943983391,0.11635860372334719,0.058658235939219594,0.030520203709602355,3.3780652821063994,0.008199931646231562,0.0,0.0,-0.054166666666666696,-0.32743826443329455,-2.5396443981277734,-0.010945127318458012,-0.004658176315327486,-0.0012430210442592668,-0.004137380793690682,1.2728025826315084,-0.04684650767982627
no_body_in_g,27,control,outputs/p3_v3_assay/no_body_in_g/s27/control,0.0,0.0,0.8166666666666667,0.37198780179023744,-0.5355406446707185,0.03337186675829192,0.12101678003867468,0.05990125698347886,0.03465758450329304,2.105262699474891,0.05504643932605783,0.0,0.0,0.65,0.23299940451979637,-1.1924948726234128,0.014507777988910675,0.13002583831548692,0.06561939269304276,0.031143612414598464,3.1429203271865847,0.015289727319031953,0.0,0.0,0.75,0.14603189155459403,-1.7891627042478064,0.01916244621970691,0.1237592214718461,0.06254605106078089,0.03058253079652786,3.3821415066719056,0.007983858170337043,0.0,0.0,-0.06666666666666665,-0.2259559102356434,-1.253622059577088,-0.014209420538585014,0.0027424414331714275,0.002644794077302025,-0.004075053706765176,1.2768788071970145,-0.04706258115572079
no_body_in_g,28,body_shock,outputs/p3_v3_assay/no_body_in_g/s28/body_shock,0.5666666666666667,0.5666666666666667,0.0,0.5272258996963501,0.10993966708123223,0.013509201304987072,0.22274753178159395,0.11285932225485643,0.1004158808539311,3.077187638481458,0.07006737814905743,1.0,1.0,0.0,0.4491676464676857,-0.20986883437934917,0.012757140211760998,0.21301864981651306,0.11327049657702445,0.07573021836578846,3.424422526359558,0.013844805140979587,1.0,1.0,0.0,0.5079827390611171,0.033016361768181714,0.01205593413906172,0.19104689192026852,0.10294626709073781,0.08851938853040338,3.4133876383304598,0.014446014977875166,0.43333333333333335,0.43333333333333335,0.0,-0.019243160635233014,-0.07692330531305053,-0.0014532671659253527,-0.03170063986132543,-0.009913055164118612,-0.011896492323527727,0.33619999984900195,-0.05562136317118227
no_body_in_g,28,control,outputs/p3_v3_assay/no_body_in_g/s28/control,0.5666666666666667,0.5666666666666667,0.0,0.5272258996963501,0.10993966708123223,0.013509201304987072,0.22274753178159395,0.11285932225485643,0.1004158808539311,3.077187638481458,0.07006737814905743,1.0,1.0,0.0,0.6463007122278214,0.6041196253397779,0.013378878775984048,0.1752317614853382,0.09625755324959755,0.1024860017001629,3.430037426948547,0.014456833200529217,1.0,1.0,0.0,0.780504596978426,1.291770945727001,0.013134166377130895,0.15876294346526265,0.08678780170157552,0.08173286383971572,3.4350625693798067,0.010619141609640791,0.43333333333333335,0.43333333333333335,0.0,0.25327869728207586,1.1818312786457688,-0.0003750349278561771,-0.0639845883163313,-0.026071520553280908,-0.01868301701421539,0.3578749308983489,-0.05944823653941664
no_body_in_g,29,control,outputs/p3_v3_assay/no_body_in_g/s29/control,0.4166666666666667,0.4166666666666667,0.0,0.5245913560191791,0.09908702150420726,0.03542305408821752,0.11620386491219202,0.062077816327412924,0.04959599177042643,2.378316099445025,0.06202396508306265,1.0,1.0,0.0,0.6156491726636887,0.47180182417738453,0.03030574368312955,0.033872737735509875,0.01833646707236767,0.035663731023669244,3.0525880455970764,0.013930778624489904,0.7125,0.7125,0.0,0.7118513844907284,0.9100885971871537,0.024192748282803222,0.03382773082703352,0.018270414881408216,0.031656022369861606,3.146449500322342,0.009768799372250215,0.29583333333333334,0.29583333333333334,0.0,0.18726002847154932,0.8110015756829465,-0.011230305805414297,-0.08237613408515851,-0.04380740144600471,-0.017939969400564824,0.7681334008773169,-0.05225516571081243
no_body_in_g,29,body_shock,outputs/p3_v3_assay/no_body_in_g/s29/body_shock,0.4166666666666667,0.4166666666666667,0.0,0.5245913560191791,0.09908702150420726,0.03542305408821752,0.11620386491219202,0.062077816327412924,0.04959599177042643,2.378316099445025,0.06202396508306265,1.0,1.0,0.0,0.41782818734645844,-0.3421866355417421,0.034937658812850714,0.061064429581165314,0.03264688327908516,0.03611165881156921,3.0504552364349364,0.014919391134753823,0.7125,0.7125,0.0,0.4165450405329466,-0.34409440548558234,0.03217957696761005,0.061343735083937645,0.032805638201534745,0.03474862175062299,3.141430875658989,0.011586066795280204,0.29583333333333334,0.29583333333333334,0.0,-0.10804631548623245,-0.4431814269897896,-0.00324347712060747,-0.054860129828254375,-0.02927217812587818,-0.014847370019803442,0.7631147762139641,-0.050437898287782446
