cohort,seed,sample_id,g_mode,episode,t,x,y,zone3,valence_name,body_state,body_u,true_trend_UP_minus_DOWN,pred_trend_UP,pred_trend_DOWN,pred_trend_STAY,pred_trend_UP_minus_DOWN,pred_body_UP_minus_DOWN,q_UP,q_DOWN,q_LEFT,q_RIGHT,q_STAY,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,g_norm_mode,g_norm_actual
no_body_in_g,20,416,zero,177,30,12,12,BR,bottom,0.3773442804813385,-0.5008358071569667,0.06446211040019989,-0.03843584284186363,-0.09298661351203918,-0.06257570534944534,0.05455077067017555,0.0019048750400543213,0.26050689816474915,0.1502588540315628,0.19206899404525757,0.1919703185558319,0.20519492030143738,0.11024804413318634,1.5939266681671143,0.022085141390562057,0.04722055792808533,0.0030284584499895573,0.0,3.441951036453247
no_body_in_g,20,416,mean,177,30,12,12,BR,bottom,0.3773442804813385,-0.5008358071569667,0.06446211040019989,-0.010113303549587727,-0.0953814759850502,-0.05189260095357895,0.08526816964149475,0.0017835795879364014,0.30642518401145935,0.1300388127565384,0.1825076788663864,0.18140363693237305,0.1996246874332428,0.17638637125492096,1.5694620609283447,0.008632257580757141,0.018917769193649292,0.0004594833590090275,3.4347848892211914,3.441951036453247
no_body_in_g,20,416,shuffled,177,30,12,12,BR,bottom,0.3773442804813385,-0.5008358071569667,0.06446211040019989,-0.014597499743103981,-0.09634730219841003,-0.05449041351675987,0.0817498043179512,0.0012258589267730713,0.3012506365776062,0.1326056867837906,0.1834990382194519,0.18254399299621582,0.20010064542293549,0.1686449497938156,1.572901725769043,0.0051138922572135925,0.011176347732543945,0.0001623018179088831,3.4434025287628174,3.441951036453247
no_body_in_g,20,416,random,177,30,12,12,BR,bottom,0.3773442804813385,-0.5008358071569667,0.06446211040019989,0.011158181354403496,-0.08854757994413376,-0.03801783546805382,0.0997057631611824,0.003914892673492432,0.3277891278266907,0.1197642832994461,0.17821896076202393,0.1765660047531128,0.1976616382598877,0.20802484452724457,1.553784966468811,0.023069851100444794,0.0505562424659729,0.0032466407865285873,3.4562828540802,3.441951036453247
no_body_in_g,20,417,actual,177,46,13,14,BR,bottom,0.3050127923488617,-0.8235397548105573,0.029043711721897125,-0.001924741081893444,-0.08850675076246262,-0.04496464878320694,0.0865820124745369,0.0004950761795043945,0.30882903933525085,0.1297656148672104,0.18229441344738007,0.18044327199459076,0.19866767525672913,0.17906342446804047,1.5681891441345215,0.0,0.0,0.0,3.4427731037139893,3.4427731037139893
no_body_in_g,20,417,zero,177,46,13,14,BR,bottom,0.3050127923488617,-0.8235397548105573,0.029043711721897125,-0.029354581609368324,-0.08680322021245956,-0.05597252771258354,0.05744864046573639,0.0005825459957122803,0.2653750479221344,0.1491871178150177,0.19125230610370636,0.19041407108306885,0.20377150177955627,0.1161879301071167,1.5922112464904785,0.029133372008800507,0.06287549436092377,0.005244200583547354,0.0,3.4427731037139893
no_body_in_g,20,417,mean,177,46,13,14,BR,bottom,0.3050127923488617,-0.8235397548105573,0.029043711721897125,0.0015347227454185486,-0.08781570196151733,-0.04289970546960831,0.08935042470693588,0.0007007420063018799,0.31270039081573486,0.12773902714252472,0.18158918619155884,0.17955154180526733,0.19841986894607544,0.18496136367321014,1.5654278993606567,0.002768412232398987,0.005897939205169678,4.3827894842252135e-05,3.4347848892211914,3.4427731037139893
no_body_in_g,20,417,shuffled,177,46,13,14,BR,bottom,0.3050127923488617,-0.8235397548105573,0.029043711721897125,-0.01227703969925642,-0.09207741916179657,-0.05147897079586983,0.07980038225650787,-0.00046572089195251465,0.2984047532081604,0.13450632989406586,0.18456675112247467,0.1828502118587494,0.19967196881771088,0.16389842331409454,1.5749378204345703,0.006781630218029022,0.015165001153945923,0.00029702356550842524,3.479086399078369,3.4427731037139893
no_body_in_g,20,417,random,177,46,13,14,BR,bottom,0.3050127923488617,-0.8235397548105573,0.029043711721897125,0.00878075510263443,-0.0850466713309288,-0.03809589892625809,0.09382742643356323,0.0014996528625488281,0.31964004039764404,0.12460789829492569,0.18009939789772034,0.1779615879058838,0.19769112765789032,0.19503214955329895,1.5604718923568726,0.007245413959026337,0.015968725085258484,0.00032312527764588594,3.4813320636749268,3.4427731037139893
no_body_in_g,20,418,actual,156,93,14,10,BR,bottom,0.35993462800979614,-0.575647855935899,0.10579326748847961,0.04680955037474632,-0.07400234043598175,-0.008668673224747181,0.12081189453601837,0.004372268915176392,0.35047852993011475,0.10357023030519485,0.1749521642923355,0.17201387882232666,0.19898517429828644,0.2469083070755005,1.531333327293396,0.0,0.0,0.0,3.427216053009033,3.427216053009033
