cohort,seed,phase,shock_minus_control.body_state,shock_minus_control.body_u,shock_minus_control.obs_pe,shock_minus_control.alpha,shock_minus_control.g_norm,shock_minus_control.g_delta_norm,shock_minus_control.pred_trend_UP_minus_DOWN,shock_minus_control.q_UP_minus_DOWN,shock_minus_control.metric_eig_entropy,shock_minus_control.metric_cond,shock_minus_control.metric_top1_mass,shock_minus_control.metric_trace,shock_minus_control.M_g_eig_0,shock_minus_control.M_g_eig_1,shock_minus_control.M_g_eig_2,shock_minus_control.M_g_eig_3,shock_minus_control.M_g_eig_4,shock_minus_control.M_g_eig_5,shock_minus_control.M_g_eig_6,shock_minus_control.M_g_eig_7,shock_minus_control.M_g_eig_8,shock_minus_control.M_g_eig_9,shock_minus_control.M_g_eig_10,shock_minus_control.M_g_eig_11,shock_minus_control.M_g_eig_12,shock_minus_control.M_g_eig_13,shock_minus_control.M_g_eig_14,shock_minus_control.M_g_eig_15,shock_minus_control.M_g_eig_16,shock_minus_control.M_g_eig_17,shock_minus_control.M_g_eig_18,shock_minus_control.M_g_eig_19,shock_minus_control.PC1,shock_minus_control.PC2,shock_minus_control.PC3,shock_minus_control.g_0,shock_minus_control.g_1,shock_minus_control.g_2,shock_minus_control.g_3,shock_minus_control.g_4,shock_minus_control.g_5,shock_minus_control.g_6,shock_minus_control.g_7,shock_minus_control.g_8,shock_minus_control.g_9,shock_minus_control.g_10,shock_minus_control.g_11,shock_control_PC_centroid_dist,shock_control_g_centroid_dist,shock_control_metric_spectral_l2
full,3,shock,-0.16644347161054612,-0.8313964136845042,0.0010940563515760005,0.000986348465085031,-0.06744493246078509,0.04490717332810164,0.002498934790492069,0.019779151678085305,0.07530420108148439,-7.2070878343637474,-0.03628982451223928,-0.9397889200598009,0.00573168508708477,0.009091446548700338,0.02256358042359352,0.020210610330104822,0.03751460909843443,0.02912212461233138,0.005317413806915305,0.020328614115715016,-0.007542656362056754,-0.0026506632566452026,0.002184773981571242,0.010911846160888694,-0.030535498261451743,-0.022770917415618874,-0.05762633383274085,-0.05412708818912504,-0.0738389223814011,-0.1412812083959578,-0.12935341000556955,-0.5830389261245728,0.13172949188352034,-0.10036503505617478,-0.19885694686756195,-0.22268163785338402,-0.06937669366598126,0.22601429671049117,0.01745755076408395,0.21619456205517054,0.07953722774982455,0.027243457827717064,-0.03932673931121844,-0.17634058902040123,0.0968923002481461,-0.16461117118597035,0.023649922013282754,0.2587854026238845,0.47883483708979996,0.6274540214639754
full,4,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,4,recovery,-0.27801367044448844,-1.3089136603805935,0.0013673955298145295,-0.0003391182050108965,-0.02340025603771201,0.0009400984388776117,0.028731958894059065,0.06068946355953814,-0.053080218683454916,4.29639346497861,0.015813617944871156,1.0765439977869384,-0.00047923456877470294,-0.00741006173193455,-0.006613610684871679,-0.012725531682372115,-0.026176591217517864,-0.01846202276647091,-0.012115209177136377,-0.01254928410053252,-0.0018719084560870902,-0.009854461625218414,0.00774900019168856,0.0307356275618077,0.014207049459218912,0.02608601376414299,0.0607425302267075,0.08975915387272837,0.16526004374027248,0.17488893344998369,0.19584331437945357,0.41953024715185183,-0.07408338718645835,0.007788699812649069,0.15432970195036952,0.009209000598639244,0.009141104482114304,-0.13119982853531836,-0.012338318023830654,-0.07765481043606995,0.10157428691163656,0.27123544849455355,0.04360684290295466,-0.1403838449739851,-0.08853891640901557,0.1337471902370453,-0.0895571470260621,0.17136705927884785,0.4034939681387088,0.5362671117969259
full,4,shock,-0.1949901789426804,-0.813988459719127,0.0008755705377552657,-0.0013197660446166992,-0.01329617500305158,0.008158627804368733,0.014722913503646864,0.039558386802673345,-0.002947315036072151,0.27882247668466675,0.0004468170333096211,0.08100396692752909,6.236135959569733e-07,-2.754926681518277e-05,-2.364814281452521e-06,-0.000431206077337265,-0.001325879991054546,-0.0009174361824988986,-0.0002292647957802263,-0.0007649302482605203,-0.0002767309546470864,-0.001079139113426164,0.001059380173683122,0.0027820318937301636,0.00026666224002835914,0.002500122785568215,0.0003903150558471902,0.004636526107788086,0.005332893133163541,0.023738807439803944,0.017449635267257513,0.02790147066116333,-0.002955173061788441,-0.007053945268275186,0.019926978445710335,0.0108333945274353,-0.005547319352626812,-0.005771411955356687,-0.0015634477138519454,-0.009191910922527302,0.010026394575834291,0.024453504383563973,0.008103549550287428,-0.011420952016487712,-0.022344267368316517,0.005536779761314392,0.0008236169815063477,0.02134421845954417,0.04115323394941974,0.04143007539151981
full,5,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,5,recovery,-0.26304207369685173,-1.2541830026727387,0.0016047112469095744,0.0634238944388926,0.06646846532821682,0.008351722010411324,0.019300495833158494,0.03675701953470707,-0.04830076460486277,2.535283919493093,0.023768569494257458,1.3926112543791547,0.003993006609380262,0.04228287208825349,0.006623499840497982,0.011068406328558877,0.008274502307176579,0.021257121488451935,0.011850495636463121,0.013384819030761719,0.0244632326066494,0.019206685945391655,0.016569452732801415,0.019947491586208344,0.02356836199760437,0.034759617596864745,0.05018523037433631,0.07854683771729465,0.05949506685137751,0.10259954705834384,0.24576466381549844,0.5987703427672386,-0.22227027832092805,0.4281071310850828,-0.2678854911676328,-0.08027389957569539,-0.14170653263572605,0.05028123855590827,-0.26255345621611925,0.15207427367568016,-0.4192438527941702,-0.10332436114549637,0.45590933151543145,0.058944336324930124,0.33619484305381775,0.06525112017989165,-0.19087099274620412,0.5517630185948375,0.8201214833745989,0.6692490320137618
full,5,shock,-0.19339647293090817,-0.8139884597191269,0.0018880804564105347,-0.005023853480815882,-0.017233550548553467,0.01862144116312265,0.02220526095479726,0.04182349219918251,0.009615744526273673,-0.7200077717850668,-0.002859270406179698,-0.040455936640499957,0.006358622759580629,0.01148258298635485,0.011517517268657684,0.003368134796619404,0.006566916406154644,0.006161020696163144,0.00223761349916457,0.0035552278161049,0.0021694153547286987,0.0030809164047240767,-0.0005944997072220293,0.002618443965911821,0.0023988425731659158,-0.0004987955093384011,-0.001394051313400313,-0.004338562488555908,-0.0038704484701156394,-0.0034027397632598877,-0.03674288392066938,-0.0511292099952696,-0.09334831395614751,-0.08665364160357347,-0.025719835611953762,-0.007799714058637636,-0.022735781967639923,0.07317724227905276,-0.23178848009556535,0.07579719275236135,0.026282989978790194,-0.0388971388339997,0.09121630489826205,0.050689184665679954,0.022802379727363542,0.03298928439617155,-0.09778200089931488,0.12993949078521883,0.2994443618469572,0.06673815201325917
full,6,pre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,6,recovery,-0.26195435300469405,-1.2545780536854152,0.0016182937964913432,0.0017696691676974269,0.0027874797582625455,0.001581573480507359,0.016870197700336573,0.029535560309886938,-0.0044026501757796765,0.39356856659528816,0.001250116332222384,0.1195824028924104,-0.0027533048763871137,-0.00618402287364006,0.006825949996709824,-0.0023167524486780167,-0.0037019316107034794,-0.006720648333430279,0.0032566688954829837,-0.0015596754848957173,0.010641726851463307,0.004233132302761011,0.0003716185688972251,0.0026763588190078513,0.0033183261752128823,0.005004350841045446,0.009455011039972372,0.004043866693973497,0.02646541297435756,0.002409115433692932,0.03845129534602165,0.025665904581546828,0.01994788190236356,-0.01411529720847804,-0.019311560173195852,-0.09959919843822718,-0.0020610868930819315,0.0340495737385936,0.08042251053557266,-0.007630807410896523,0.059960109452367766,-0.09281575040949974,0.022696025040932002,0.021493801102042187,-0.059429201856255526,0.0013773906975984573,0.015030913054943085,0.03114636357582175,0.18589340541516391,0.057388396129007695
full,6,shock,-0.19391998201608657,-0.813988459719127,0.0014876203262247142,0.00160248428583145,0.0012773394584657538,0.004023086512461305,0.017354589886963367,0.029965370893478394,0.0020093055217675904,-0.14484655622418607,-0.0005518012733978644,-0.055222769826650975,0.0007786378264427185,0.0018013127148151509,-0.001387019455432903,-0.0002761736512184032,0.0008080050349235646,-0.0010682001709937938,-0.00043402761220934227,-0.00021221637725832299,-0.0003595128655433655,0.0016094163060188516,-0.0009972214698791282,-0.002485403418540977,-0.002665081620216281,-0.0019061654806137307,-0.0029256343841552734,-0.0023037165403365645,-0.004627665877342202,-0.005045825242996238,-0.02179564237594611,-0.011730635166168124,-0.0009602986999610319,-0.010535833065502154,-0.0018008273157175958,0.022907736664637912,-0.006048071384429754,-0.0035141963511705412,-0.008239355526166036,0.00890474813058972,-0.0024787209928035722,0.0017011832445859992,-0.0006818126654252431,0.004643598198890597,-0.007275001704692863,-0.005588725209236145,-0.00034543871879577637,0.010731678852738279,0.028917459145459457,0.02649350175125564
