cohort,seed,condition,phase,body_state,body_u,obs_pe,alpha,g_norm,g_delta_norm,pred_trend_UP_minus_DOWN,q_UP_minus_DOWN,metric_eig_entropy,metric_cond,metric_top1_mass,metric_trace,M_g_eig_0,M_g_eig_1,M_g_eig_2,M_g_eig_3,M_g_eig_4,M_g_eig_5,M_g_eig_6,M_g_eig_7,M_g_eig_8,M_g_eig_9,M_g_eig_10,M_g_eig_11,M_g_eig_12,M_g_eig_13,M_g_eig_14,M_g_eig_15,M_g_eig_16,M_g_eig_17,M_g_eig_18,M_g_eig_19,PC1,PC2,PC3,g_0,g_1,g_2,g_3,g_4,g_5,g_6,g_7,g_8,g_9,g_10,g_11
full,2,body_shock,pre,0.5063624242941539,0.025639953074062583,0.010614327744891246,0.035587054366866745,2.030444758137067,0.05988957512502869,0.07609758190810681,0.15551653678218524,2.844145647720119,12.521262430709324,0.16225520357070747,10.643880457182725,0.14082018459836643,0.19358657499154408,0.24304004932443302,0.30613270252943037,0.3531943649053574,0.3657511283953985,0.3914289255936941,0.4127984265486399,0.4393978402018547,0.4708521326382955,0.491896120707194,0.5260212600231171,0.5518948018550873,0.5701478044191997,0.5914814511934916,0.6315978080034256,0.6624616454044978,0.7044730633497238,0.8672748386859894,1.7296293338139852,0.517431705046214,-1.0150724695522861,0.9448616016518265,-0.01251965998671949,0.14783052854860823,0.28416423182934525,-0.05275510791689157,-0.6511813825306793,0.9261772985259692,0.32886372826372584,-1.5374316128591696,0.16904817369456093,-0.01810276131921758,-0.0689465366381531,0.37705128101321556
full,2,body_shock,recovery,0.4797039031982422,-0.08560355484419217,0.007292864739429206,0.03061155416071415,3.1670843064785004,0.02429201485356316,0.09725054772570729,0.18024856708943843,2.759105091675624,18.721819536173907,0.16417191976502216,11.615669586323202,0.10333180939778686,0.12796807764098048,0.18288978487253188,0.23924417439848183,0.27320167478173973,0.2905892603099346,0.3319377724081278,0.3811374373733997,0.4462383896112442,0.48675348348915576,0.5319822009652853,0.5450200229883194,0.571675731241703,0.6023605711758137,0.6732086382806302,0.7469265714287758,0.8099452756345272,0.8870842598378659,1.4600457318127156,1.924128718674183,0.6371815433962494,-1.8386888927704228,0.6596093381704449,0.18537270966917277,0.16409232720179717,-0.13758590015058872,-0.1247676316765137,-0.2302753402851522,1.383657905459404,0.3427110452204943,-2.683964914083481,0.16921864906325937,0.2006574437022209,-0.08321682796813548,0.6006462997756898
full,2,body_shock,shock,0.4134323880076408,-0.3596080501696798,0.0067403956549242135,0.03043302372097969,2.9804060101509093,0.036830483842641114,0.12366662807762623,0.23688664361834527,2.81678014122786,15.021949942189234,0.1537726471269159,10.509499817341567,0.10780126862227916,0.14454007782042028,0.1998610056936741,0.24756387770175933,0.30612840950489045,0.31917852312326433,0.3545027211308479,0.38086104989051817,0.4092500850558281,0.4615763172507286,0.502451828122139,0.5174123495817184,0.5367396175861359,0.5678327441215515,0.6181838601827622,0.6850750714540481,0.7243318289518357,0.7712117284536362,1.0388877481222152,1.6161097049713136,0.6873834533312579,-1.65658806471005,0.9724327701175908,0.04816066710627638,0.22414159253239632,0.050209475215524435,-0.09538094848394393,-0.5552358821034431,1.3277115404605866,0.4571085274219513,-2.453572762012482,0.22431388795375823,0.07156511219218373,-0.11264809109270572,0.6369998022913933
full,2,control,pre,0.5063624242941539,0.025639953074062583,0.010614327744891246,0.035587054366866745,2.030444758137067,0.05988957512502869,0.07609758190810681,0.15551653678218524,2.844145647720119,12.521262430709324,0.16225520357070747,10.643880457182725,0.14082018459836643,0.19358657499154408,0.24304004932443302,0.30613270252943037,0.3531943649053574,0.3657511283953985,0.3914289255936941,0.4127984265486399,0.4393978402018547,0.4708521326382955,0.491896120707194,0.5260212600231171,0.5518948018550873,0.5701478044191997,0.5914814511934916,0.6315978080034256,0.6624616454044978,0.7044730633497238,0.8672748386859894,1.7296293338139852,0.517431705046214,-1.0150724695522861,0.9448616016518265,-0.01251965998671949,0.14783052854860823,0.28416423182934525,-0.05275510791689157,-0.6511813825306793,0.9261772985259692,0.32886372826372584,-1.5374316128591696,0.16904817369456093,-0.01810276131921758,-0.0689465366381531,0.37705128101321556
full,2,control,recovery,0.7543293006718159,1.1410988104114455,0.006450780763407238,0.030719897337257863,3.2518354058265686,0.01064375223359093,0.08452578517608345,0.15211734231561422,2.8150042109774476,15.268220024963572,0.15513078736983696,10.358547939080745,0.105291988234967,0.14326910488307476,0.19838738217949867,0.23894361760467292,0.2914033833891153,0.30702044181525706,0.35390233285725115,0.37648013718426226,0.39362833797931673,0.4511093821376562,0.4956096079200506,0.5151935309171677,0.5288546189665795,0.565835653245449,0.6235050112009048,0.6783423855900764,0.7068275287747383,0.7730025924742222,1.005047405511141,1.6068934962153434,0.6421246207745608,-1.869398197392292,0.9176254508062984,0.0549599175574258,0.3040104888379574,0.02790315995225683,-0.0928659688681364,-0.3826679069548845,1.460790327191353,0.5144243985414505,-2.765749877691269,0.20581962466239928,0.08716430845670402,-0.08281514248810709,0.4382590681314468
full,2,control,shock,0.6114224672317505,0.454380409549447,0.006362755940062925,0.031012683361768722,3.007411766052246,0.0164109711535275,0.11752572059631347,0.21582831293344498,2.8263287079557653,14.657899222333578,0.16011529672541666,10.325960194319487,0.11280417516827583,0.16251693144440651,0.20321038439869882,0.25867014825344087,0.31965419501066206,0.32926333844661715,0.37167113125324247,0.3878783255815506,0.40665435791015625,0.4458031952381134,0.4861293599009514,0.5066590428352356,0.5349231064319611,0.5600213259458542,0.6048820495605469,0.6413357079029083,0.6821769118309021,0.7252620548009873,0.9330526560544967,1.6533917963504792,0.6952761371531345,-1.6411661653990806,1.1218942254097874,0.010047442326322199,0.29555308520793916,0.1661718137562275,-0.047663704678416255,-0.6491644710302353,1.386871874332428,0.49416813552379607,-2.4626904129981995,0.2471107177436352,0.025242129806429148,-0.10959797985851764,0.44298316538333893
full,3,body_shock,pre,0.4330243368943532,-0.2703280985248058,0.01799378008581698,0.05939882136881351,2.630962437391281,0.08523538634181023,0.1352243887881438,0.26806744883457817,2.640594149858373,30.978900886385098,0.2407571893049101,12.832270665715138,0.10023218269149463,0.1124781606098016,0.15844105010231335,0.20740287999312082,0.2250550404191017,0.2789622778693835,0.33356296867132185,0.37065694431463875,0.418535390496254,0.4877193957567215,0.5216437632838885,0.5597444792588552,0.5818268239498139,0.642021601398786,0.6825098276138306,0.7517542143662771,0.9491506983836492,1.114182217915853,1.2330042749643326,3.103386473655701,-0.635500451246903,-0.7469959862476782,0.739466230523335,0.8313848127921423,0.34678217079490425,0.0732348131791999,0.8283359342565139,-0.12759664418796698,0.2438428418710828,-0.0423649037295642,-1.9109425370891888,0.10110715846919144,-0.812403587003549,0.7869277228911717,-0.5403353974067916
full,3,body_shock,recovery,0.19646176733076573,-1.448642254468045,0.013941185476141982,0.06591511834412814,3.175324520468712,0.03841776936315,0.0601817196700722,0.12328071556985379,1.95776254032947,226.09287191557146,0.5110663349150915,45.945805189479145,0.10566642601042986,0.11678055254742503,0.16616479251533747,0.2409529762342572,0.38301737867295743,0.4224136732518673,0.5376690983772278,0.6057580024003982,0.7121294617652894,0.7957877524197101,0.882305409014225,1.1791974849998952,1.3223175287246705,1.49107261672616,1.6815345257520675,2.2615790612995625,2.4457016199827195,3.0629801601171494,3.708795168995857,23.823981499671937,0.4061409909328392,-0.9920826920300737,-0.40757692559756664,-0.5630413795122877,-0.509860347979702,1.2164384193718434,1.2422217763960361,1.1518821429461241,0.6726777732372284,0.4038793513551354,-1.679259607195854,-0.5267529208213091,-0.3643831471039448,-0.49804513589479027,-0.687744477391243
full,3,body_shock,shock,0.23281871974468232,-1.2400518591924399,0.010220308240968734,0.05192348845303059,3.1783939480781553,0.0640172147192061,0.13204784952104093,0.25666013211011884,2.7173936173050213,22.442007085575316,0.19472184925357025,11.905676229670643,0.1058308206498623,0.11995677761733532,0.16154914498329162,0.21092912331223487,0.24506403431296347,0.304251591861248,0.3324312508106232,0.3754304856061935,0.4189937815070152,0.4783415704965591,0.5136012956500053,0.5575063914060593,0.5940304964780807,0.6185906231403351,0.6534240365028381,0.7310135990381241,0.8783151805400848,1.029763850569725,1.1918539226055145,2.38479825258255,-0.4858112078663007,-0.8590927995392613,0.6853170635716017,0.6271340824663639,0.48239229172468184,0.3435805104672909,1.3561647295951844,0.08224058095365763,0.3117195084691048,0.05778753412887454,-2.2540811896324158,0.05414679860696196,-1.1064886718988418,0.5528399392962455,-0.813265910744667
full,3,control,pre,0.4330243368943532,-0.2703280985248058,0.01799378008581698,0.05939882136881351,2.630962437391281,0.08523538634181023,0.1352243887881438,0.26806744883457817,2.640594149858373,30.978900886385098,0.2407571893049101,12.832270665715138,0.10023218269149463,0.1124781606098016,0.15844105010231335,0.20740287999312082,0.2250550404191017,0.2789622778693835,0.33356296867132185,0.37065694431463875,0.418535390496254,0.4877193957567215,0.5216437632838885,0.5597444792588552,0.5818268239498139,0.642021601398786,0.6825098276138306,0.7517542143662771,0.9491506983836492,1.114182217915853,1.2330042749643326,3.103386473655701,-0.635500451246903,-0.7469959862476782,0.739466230523335,0.8313848127921423,0.34678217079490425,0.0732348131791999,0.8283359342565139,-0.12759664418796698,0.2438428418710828,-0.0423649037295642,-1.9109425370891888,0.10110715846919144,-0.812403587003549,0.7869277228911717,-0.5403353974067916
