cohort,seed,did_residue.body_state,did_residue.body_u,did_residue.obs_pe,did_residue.alpha,did_residue.g_norm,did_residue.g_delta_norm,did_residue.pred_trend_UP_minus_DOWN,did_residue.q_UP_minus_DOWN,did_residue.metric_eig_entropy,did_residue.metric_cond,did_residue.metric_top1_mass,did_residue.metric_trace,did_residue.M_g_eig_0,did_residue.M_g_eig_1,did_residue.M_g_eig_2,did_residue.M_g_eig_3,did_residue.M_g_eig_4,did_residue.M_g_eig_5,did_residue.M_g_eig_6,did_residue.M_g_eig_7,did_residue.M_g_eig_8,did_residue.M_g_eig_9,did_residue.M_g_eig_10,did_residue.M_g_eig_11,did_residue.M_g_eig_12,did_residue.M_g_eig_13,did_residue.M_g_eig_14,did_residue.M_g_eig_15,did_residue.M_g_eig_16,did_residue.M_g_eig_17,did_residue.M_g_eig_18,did_residue.M_g_eig_19,did_residue.PC1,did_residue.PC2,did_residue.PC3,did_residue.g_0,did_residue.g_1,did_residue.g_2,did_residue.g_3,did_residue.g_4,did_residue.g_5,did_residue.g_6,did_residue.g_7,did_residue.g_8,did_residue.g_9,did_residue.g_10,did_residue.g_11,did_residue_PC_vector_dist,did_residue_g_vector_dist,did_residue_metric_spectral_l2
full,10,-0.3077326599508524,-1.3138415301163726,0.0506816526685725,0.14220474446192383,-0.32330332398414585,0.12781710686394945,0.014599919924512511,0.04087151996791363,-0.49741225516259524,47.87083942871216,0.1772476140670447,11.367573717329652,-0.019049651455134153,-0.14192331191152335,-0.12747553884983065,-0.06379916835576294,-0.00935717299580574,-0.013100070133805264,-0.021434544771909703,0.0346020642668009,0.038265563920140244,0.07065922617912301,0.0766873709857464,0.08622581809759144,0.10381587892770772,0.17315714210271838,0.29107436612248416,0.37706903442740436,0.5869409166276456,1.828120119869709,2.8609672725200648,5.236128401756286,1.0988216197213303,1.6126484151114002,2.5965972217465128,-0.4320688955951483,0.6627147383056581,-0.8840378384746146,1.3575587110593914,-3.9431821603327992,0.9600705378456043,0.009670824697241232,0.6447993624955417,-1.0390077797695993,0.17053754559019582,0.8829490346019155,1.614535739598796,3.2481319238463864,4.963022114769527,6.294352854755555
full,11,-0.2450130265206098,-1.0261804790094446,0.005914986852440053,0.01571183009073139,-0.038064730167389094,0.04922278755693696,-0.004863994056358942,-0.003080392628908163,-0.2980304968469749,46.85154006284413,0.07733072172500566,22.51221158020198,-0.014522895030677302,-0.04752606321126222,-0.03129204958677295,-0.012379307672381434,0.0565817851573229,0.07889999039471146,0.10125564746558663,0.2118857730180026,0.31223132498562345,0.31534125134348867,0.5167375918477775,0.856609108299017,0.9317795306444169,0.9785569272935389,1.1093253694474696,1.9256189830601218,2.310483722388744,3.1519771546125406,4.068816137313843,5.691831598430872,-1.2415238464002978,0.47712608846197924,-0.3559690197983723,-0.06431920695467852,-0.672950010272325,-0.27132486018235796,-0.2571490091271698,0.39380787186091765,-0.6730850575753721,0.2335760191082955,0.021119171455211472,-0.3655175491468981,0.5509123191237448,1.2480714892502875,0.20933426916599274,1.3768604535419822,1.8161729325029903,8.500341593058222
full,12,-0.234402278624475,-1.0548690144954889,0.0016795972129330042,-0.00034794099628925393,-0.027876392006874084,0.003363309620181096,-0.009434167388826603,-0.03112282436341049,0.021324669447730926,-2.1063691271308222,-0.008501946463149695,0.9117420250549912,0.03501317128539086,0.06485413853079083,0.06636989377439023,0.07074636705219745,0.06517233587801458,0.04365334548056127,0.040686141699552536,0.03680553510785106,0.037650787830352805,0.028091753274202325,0.03595035746693609,0.026571363955736116,0.03396165743470192,0.03565942496061325,0.02264820784330368,0.0209278926253319,0.017269281297922157,0.01521875336766243,0.1847384959459305,0.029753120243549258,-0.06151174836148621,-0.08849018396595298,0.02453071433884091,0.1389731612056494,-0.09170451496611351,0.24650637507438633,-0.02881321320019197,-0.053289486840367384,0.10248136804439129,-0.06786904968321322,-0.03796808421611786,-0.711524935811758,0.08617593571543691,0.1944686889648437,0.2146009163465351,0.1105258512330433,0.8404013837438838,0.25909370802390175
full,13,-0.3001042794436216,-1.2541830026727356,0.00249171988107264,0.009093760140240194,-0.028335317969322205,0.007117610430577771,0.03240974349901081,0.0680780599825084,0.014210841148679876,-0.9137965804105423,-0.004945909031149734,0.0678160380572077,0.008282266557216644,0.032557619363069557,0.016742580756545056,0.032095442712306965,0.03501966819167135,0.0020740132778882536,0.009652889147400867,0.00912962481379509,0.006931896135211002,0.00749603919684888,0.011174051463603951,0.006878625601530075,-0.00042471885681150123,-0.002188069373369239,-0.004168009012937457,-0.004461659491062142,-0.002940510213375047,-0.028998661786317825,-0.024499301612377233,-0.04253774881362915,-0.0032897884017111245,-0.07136129644463063,-0.2017667917011239,-0.276205351165845,0.12445492744445774,0.005055388715118167,-0.11863945346558466,0.08907933440059423,0.05382929444313067,-0.08864016868174074,0.04469668082892897,-0.17025870810030025,0.054167131334543206,0.022472336702048762,0.258294475171715,0.21403993919675648,0.47508951052633663,0.0861634566518157
full,14,-0.25331160295754673,-1.051776422750185,-0.0018799872050294653,-9.258631616831242e-05,-0.024314177036285134,0.002171694964636116,-0.039534424524754294,-0.07882372112944724,0.042992497288025344,-3.083443126710213,-0.01609916037186114,-0.015584989264608495,0.03945328276604415,0.10017679110169408,0.07187559921294451,0.041515080630779244,0.04233314618468287,0.0559653829783201,0.012549323216080654,0.028628853708505653,0.01906182803213602,0.016726389527320862,0.015869014710187868,-0.020112118870019846,-0.008363443613052413,-0.010317189246416114,0.002079869061708428,-0.033958169817924544,-0.038660278916358926,-0.10164908617734913,-0.07718034386634831,-0.1715789198875428,-0.09524912039714149,-0.005536042832118948,0.02807008056395044,0.08146062265586806,0.03668633529450745,-0.0513983309268955,-0.20232000776741188,0.02483684048056603,-0.15119648986437823,0.08255378714529799,0.02368357628583917,0.18796441928134303,-0.028707340359687805,-0.020178422331809998,-0.02579395510256291,0.09945336660734456,0.3458864150410028,0.2724692258097325
full,15,-0.2565744765102863,-1.2678085786016395,0.007364707687520421,0.00012425966560840676,-0.044428554177283974,0.0018065427604597034,-0.019161968212574723,-0.03414469305425882,0.19198391482101673,-13.161780101054253,-0.08179333054037727,3.991590934526176,0.19135914174839852,0.2972784979268909,0.2958619199693203,0.3164829643443227,0.257502505555749,0.25139737725257877,0.2567770142108202,0.28001962043344975,0.24822004958987232,0.24007334262132646,0.198038187995553,0.17834833189845084,0.17032103091478346,0.19891539663076396,0.18598138093948358,0.19182910472154613,0.11436188444495199,0.1529388003051282,0.2818027287721635,-0.31591834574937816,0.2691423555302409,0.04086528359233266,0.15371261828043292,0.3831019305740483,-0.26245985329151156,0.0992113467305899,-0.1903174586594104,-0.24343191766238303,-0.006803556691011181,-0.3654070159420371,-0.03558211028575897,0.46642794568615503,0.4620682311011478,-0.20362757775001228,-0.03868410289287594,0.31262621125247075,0.9642781652248682,1.0641747939467194
full,16,-0.27348468638956547,-1.2541830026727372,-0.00031637011561542767,-0.0020955584943294497,-0.07894500195980081,0.003360574622638522,0.0022983549162745517,0.0036109998822212303,-0.003133778312855995,2.2256201861166645,0.00013290114678182752,0.03269069977104522,-0.004906752146780491,-0.0010236060246825163,-0.005027949064970005,0.0011980827897787316,-0.002552795410156239,-0.0007998235523700714,-0.0013095226138830074,-0.0006549444049596675,0.0008634276688098685,-0.0021044559776782767,-0.0036581657826900704,-0.000608932226896286,0.0010051734745502028,-0.0009457223117351754,-0.003303535282611847,-0.0026542842388153076,0.014900699257850647,-0.042085099220276145,0.06240825653076154,0.023950648307799582,0.08171039990295914,0.058313208025635666,0.05492696814381004,0.18208791837096217,-0.12480518964584916,0.1562932101718616,0.0761110111954622,0.01724844449199736,-0.06499035093584093,0.10764040125068275,-0.014333530329167843,-0.12899615392088892,0.05818986594676945,-0.10923748239874842,-0.13077243007719513,0.11442898021049426,0.37990299265718724,0.08100333911903217
full,17,-0.28154063001275065,-1.2516497190432763,0.0020102884765947245,0.03257683543488383,-0.00734373927116394,0.03371328220819123,0.012776051508262755,0.02455446682870388,-0.09082053976380156,8.374469931844615,0.03421723303506108,1.2714216894470152,-0.00044371141120791435,-0.015016153827309614,-0.012086372636258585,-0.02193352021276951,-0.021560720913112175,-0.01600963417440654,-0.01022076383233067,0.009427348896861032,0.005308292061090458,0.005994511768221855,0.013806140795350086,0.0017226856201887353,0.007589892297983125,0.02426155954599374,0.012265722453594252,0.07225917279720306,0.09957876354455952,0.10974005684256571,0.1663359150290491,0.8404025048017503,-0.13745386922818703,0.11388225914306915,0.2996616718251298,0.050574136339127995,-0.02662535752024269,0.18226218946801961,-0.22476147693814708,-0.24369467658398208,-0.003720284998416812,0.03892658203840249,0.05638207830488684,0.001285515259951353,0.21172201571753257,0.1824171096086502,-0.29402758665964945,0.3487977245831178,0.5618319336754414,0.8740400021935006
full,18,-0.25814457684755326,-1.2698916863012293,0.017633515928173436,-0.0001413205638527877,-0.01782618165016192,0.005319458636222407,-0.032704825745895505,-0.062088915333151806,-0.06386222443671885,3.083044539457987,0.010854201551272896,1.1285866735503092,-0.012095122877508413,-0.06464877789840104,-0.06222003195434808,-0.06062946878373621,-0.03916988000273702,-0.03198561519384385,0.005225658044218984,0.009070545062422775,0.008419533446431093,-0.0025044783949852434,0.016707672923803374,0.013882926851511046,0.05468331649899483,0.07448704987764354,0.08286087214946747,0.08367353975772851,0.07631040140986445,0.31343028843402865,0.41339331269264235,0.24969493150711064,-0.3683430429680988,-0.02474245034413708,0.33937552667819726,-0.38726751935901127,0.36487003523507155,-0.16446240209043028,0.06902783731129603,-0.10716299945488572,-0.16718707788386383,0.7112644067034125,-0.5164725263704896,0.14639885425567645,-0.26822772398591044,0.3143824438855518,0.037359338626265504,0.5014623956590709,1.1491762832735546,0.612207636036428
full,19,-0.15391655610874297,-1.254183002672741,0.006752396316733213,-0.00030773859471082757,0.011239531636238365,0.003550884500145908,-0.023994297813624152,-0.04667076133191586,-0.05256247815963544,4.769053800833006,0.015627526268781222,1.4744286566041414,-0.011928507871925842,-0.011170872021466494,-0.02588187940418718,-0.0231227084994316,-0.016057795099914063,-0.013335250690579392,0.0006651047617197148,0.023106691613793362,0.0219000682234764,0.04093309976160531,0.08863700702786448,0.08309129923582081,0.06481410413980482,0.03768452480435369,0.09642309248447423,0.10548436939716332,0.13982223495841017,0.1784479327499866,0.29416564553976055,0.400750495493412,0.20868827538006673,-0.3169002945297086,-0.44613515470712706,-0.1833014041185379,0.20808394383639084,0.1377315428107977,-0.0030127204954624176,0.33020966798067075,-0.014551693879184313,-0.34619557894766323,-0.3983781419694424,0.060078613460063934,0.12070954423106739,-0.2961445616558193,0.42006407901644693,0.5856732614860224,0.8752255435319289,0.5864564196406196
