cohort,seed,history,y_zone,body_level,pred_trend_UP_minus_DOWN,body_pred_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,metric_eig_entropy,metric_cond,metric_top1_mass,metric_trace,g_norm
full,5,body_shock,T,mid,0.08657726397116979,-0.0010008811950683594,0.16072627902030945,1.5753225882848103,2.735313574473063,14.999780972798666,0.21991213162740073,14.658486048380533,3.644126017888387
full,5,control,B,high,0.07761016736427943,0.0023055672645568848,0.15910548468430838,1.5774409770965576,2.798753499984741,11.430023193359375,0.189004585146904,12.907132784525553,3.564150412877401
full,5,control,B,low,0.04384170720974604,-0.0022166967391967773,0.08743715782960255,1.5996790726979573,2.7965259552001953,11.434518814086914,0.19091039399305978,13.029690424601236,3.5678274631500244
full,5,control,B,mid,0.05725254490971565,-0.0035928686459859214,0.11392432947953542,1.592700680096944,2.7980411847432456,11.417283058166504,0.18978136777877808,12.954944292704264,3.5661915938059487
full,5,control,M,high,0.10164731989304225,0.002264400323232015,0.2026682992776235,1.557814121246338,2.7935352325439453,11.672855695088705,0.1918312261501948,13.035266558329264,3.5650046666463218
full,5,control,M,low,0.07286710788806279,0.004910995562871297,0.15505863229433695,1.5781434377034504,2.7925464312235513,11.603930155436197,0.19308977822462717,13.137586911519369,3.566722790400187
full,5,control,M,mid,0.10564093788464864,-8.340676625569661e-05,0.2189154028892517,1.5483598311742146,2.794411023457845,11.556931177775065,0.19181606670220694,13.063870112101236,3.569608529408773
full,5,control,T,high,0.05931880325078964,-0.0008445580800374349,0.10881569981575012,1.592536449432373,2.7920378049214682,11.712029139200846,0.19270955522855124,13.09372647603353,3.5688774585723877
full,5,control,T,low,0.10989558696746826,0.01155423124631246,0.22790686786174774,1.5436249176661174,2.790375073750814,11.693719228108725,0.19421468675136566,13.195969899495443,3.5660017331441245
full,5,control,T,mid,0.0956808403134346,0.00014523665110270181,0.18171554307142893,1.5670129855473836,2.7908360163370767,11.71347173055013,0.1936972439289093,13.158552169799805,3.5683844884236655
full,6,body_shock,B,high,0.11431866387526195,0.017508586247762043,0.23722705245018005,1.5379377206166585,2.9074528217315674,8.835491816202799,0.10630071659882863,10.4411989847819,3.319139321645101
full,6,body_shock,B,low,0.07369786749283473,0.0014828195174535115,0.1524303505818049,1.5782008568445842,2.9074986775716147,8.831730842590332,0.10630101710557938,10.438441594441732,3.3191994031270347
full,6,body_shock,B,mid,0.06857707972327869,0.007076919078826904,0.1434634824593862,1.5820863246917725,2.907482465108236,8.832728068033854,0.10630816717942555,10.439157485961914,3.318821986516317
full,6,body_shock,M,high,0.12166812270879745,0.014631569385528564,0.22614761690298715,1.542375922203064,2.9075256983439126,8.829451243082682,0.10627844681342442,10.439438184102377,3.3191494941711426
full,6,body_shock,M,low,0.12250472108523051,0.009385118881861368,0.24267918368180594,1.534566601117452,2.9077772299448648,8.809927304585775,0.1062133585413297,10.431176821390787,3.3195090293884277
full,6,body_shock,M,mid,0.12885133922100067,0.01657577355702718,0.2596605718135834,1.5241904258728027,2.9076901276906333,8.816778818766275,0.10623903820912044,10.433396339416504,3.319652875264486
full,6,body_shock,T,high,0.05351533989111582,0.006270905335744222,0.09729990363121033,1.5924571752548218,2.9079457918802896,8.797163645426432,0.10614133129517238,10.428613662719727,3.320123036702474
full,6,body_shock,T,low,0.09515116612116496,0.008768171072006226,0.1691932330528895,1.5678190390268962,2.9081381956736245,8.781595230102539,0.10610704620679219,10.42074998219808,3.3201785882314048
full,6,body_shock,T,mid,0.07002213348944981,0.007428805033365886,0.12348968784014384,1.5834707816441853,2.9079906145731607,8.79302946726481,0.10614749044179916,10.425519307454428,3.3197794755299888
full,6,control,B,high,0.11287799725929896,0.01842886209487915,0.2354518473148346,1.538906415303548,2.912097136179606,8.426657994588217,0.10493386785189311,10.319419542948404,3.3169162273406982
full,6,control,B,low,0.07115266472101212,0.001136307915051778,0.14702178537845612,1.5803137222925823,2.912113904953003,8.42437775929769,0.10494036972522736,10.317299524943033,3.3169644673665366
full,6,control,B,mid,0.06607170030474663,0.005411088466644287,0.13738678395748138,1.5842951933542888,2.9121065934499106,8.424643834431967,0.10494580368200938,10.317826271057129,3.316629648208618
full,6,control,M,high,0.12359470625718434,0.015866299470265705,0.23081477483113608,1.5398284991582234,2.9121522108713784,8.42183780670166,0.10492077221473058,10.317989031473795,3.3169480164845786
full,6,control,M,low,0.12108988563219707,0.008889426787694296,0.2409452497959137,1.5357428391774495,2.9123055934906006,8.4079221089681,0.10488199442625046,10.311724344889322,3.317347447077433
full,6,control,M,mid,0.12751187632481256,0.015378087759017944,0.2579231361548106,1.5253623326619465,2.912238915761312,8.413907051086426,0.10490201910336812,10.31360117594401,3.317453463872274
full,6,control,T,high,0.055837854743003845,0.006865163644154866,0.1012500027815501,1.5911567211151123,2.9124308427174888,8.398937225341797,0.10483189672231674,10.309977531433105,3.3179481824239097
full,6,control,T,low,0.09688910841941833,0.008795902132987976,0.17293206850687662,1.5665452480316162,2.912530024846395,8.388274828592936,0.10482058922449748,10.304032643636068,3.3180578549702964
full,6,control,T,mid,0.07237131769458453,0.007497916618982951,0.12753762304782867,1.5822055339813232,2.912449518839518,8.395572662353516,0.10484336564938228,10.307368596394857,3.3176501592000327
full,7,body_shock,B,high,0.12282508611679077,0.014701823393503824,0.24639634291330972,1.5328638553619385,2.9235336780548096,8.52260684967041,0.10151114811499913,10.22514565785726,3.0998481909434
full,7,body_shock,B,low,0.07966804752747218,0.004535203178723653,0.17052831252415976,1.5716273784637451,2.923683484395345,8.50475279490153,0.10137149939934413,10.22350279490153,3.09941299756368
full,7,body_shock,B,mid,0.09640710055828094,0.014595399300257364,0.21103660265604654,1.551767110824585,2.923665444056193,8.507847785949707,0.10140330841143926,10.22401237487793,3.099632660547892
full,7,body_shock,M,high,0.09148033708333969,0.010680635770161947,0.17054309944311777,1.5697073936462402,2.923497438430786,8.525474230448404,0.10152989129225413,10.225273132324219,3.0997623602549234
full,7,body_shock,M,low,0.11815521369377772,0.009290874004364014,0.24988673627376556,1.5299634138743083,2.9237762292226157,8.494598706563314,0.10129006703694661,10.222320238749186,3.099167585372925
full,7,body_shock,M,mid,0.12963558733463287,0.01736446221669515,0.25934279958407086,1.5243512789408367,2.923647165298462,8.508756637573242,0.1014019747575124,10.223789850870768,3.0994576613108316
full,7,body_shock,T,high,0.033212424566348396,0.00397038459777832,0.06216315428415934,1.6017017364501953,2.9234371980031333,8.530230522155762,0.10156649847825368,10.225744247436523,3.09961199760437
full,7,body_shock,T,low,0.11083068201939265,0.011202534039815268,0.21410094698270163,1.550941268603007,2.923736651738485,8.498296101888021,0.10131518046061198,10.222466468811035,3.099050839742025
full,7,body_shock,T,mid,0.08284669617811839,0.012904455264409384,0.15171987811724344,1.5760613282521565,2.923675855000814,8.505487124125162,0.10137561708688736,10.223297754923502,3.0992679595947266
full,7,control,B,high,0.11580640574296315,0.016158998012542725,0.22380280991395315,1.5453428824742634,2.9368107318878174,6.828812440236409,0.08960276345411937,10.218507130940756,3.1614898840586343
full,7,control,B,low,0.09607185920079549,0.005851959188779195,0.2067202776670456,1.5541534821192424,2.9368560314178467,6.817269007364909,0.08949699252843857,10.218919436136881,3.161478598912557
full,7,control,B,mid,0.11286315073569615,0.015103816986083984,0.2442424347003301,1.5329833030700684,2.936861991882324,6.818899472554524,0.08952162166436513,10.218989054361979,3.161580483118693
full,7,control,M,high,0.07461368540922801,0.010751048723856607,0.13798759877681732,1.5814411242802937,2.9367918968200684,6.830554644266765,0.08961285402377446,10.21834659576416,3.1613564491271973
full,7,control,M,low,0.12021993348995845,0.008972391486167908,0.24734858671824136,1.5321775674819946,2.936887582143148,6.81200647354126,0.08944580207268397,10.21852175394694,3.1612770557403564
full,7,control,M,mid,0.1219825620452563,0.015354822079340616,0.23527616262435913,1.5384739240010579,2.936847766240438,6.8196156819661455,0.08951696008443832,10.218668301900228,3.1614062786102295
