cohort,seed,probe_id,x,y,x_zone,y_zone,body_level,body_state,shock_minus_control.pred_trend_UP_minus_DOWN,shock_minus_control.body_pred_UP_minus_DOWN,shock_minus_control.q_UP_minus_DOWN,shock_minus_control.q_entropy,shock_minus_control.metric_eig_entropy,shock_minus_control.metric_cond,shock_minus_control.metric_top1_mass,shock_minus_control.metric_trace,shock_minus_control.g_norm,shock_minus_control.metric_eig_0,shock_minus_control.metric_eig_1,shock_minus_control.metric_eig_2,shock_minus_control.metric_eig_3,shock_minus_control.metric_eig_4,shock_minus_control.metric_eig_5,shock_minus_control.metric_eig_6,shock_minus_control.metric_eig_7,shock_minus_control.metric_eig_8,shock_minus_control.metric_eig_9,shock_minus_control.metric_eig_10,shock_minus_control.metric_eig_11,shock_minus_control.metric_eig_12,shock_minus_control.metric_eig_13,shock_minus_control.metric_eig_14,shock_minus_control.metric_eig_15,shock_minus_control.metric_eig_16,shock_minus_control.metric_eig_17,shock_minus_control.metric_eig_18,shock_minus_control.metric_eig_19,s_distance_shock_control,g_distance_shock_control
full,0,20,12,2,R,T,high,0.8,-0.010707259178161621,-0.002759873867034912,-0.01977035403251648,0.0043447017669677734,-0.028920888900756836,2.6498608589172363,0.024704299867153168,0.8975162506103516,-0.005133867263793945,0.0016449466347694397,-0.021361902356147766,-0.014703691005706787,0.019294559955596924,0.01105305552482605,-0.014149606227874756,-0.011470615863800049,0.01011541485786438,0.02005937695503235,0.011911481618881226,0.04047662019729614,0.04598933458328247,0.02868562936782837,0.04837918281555176,0.050336480140686035,0.034413814544677734,0.04860597848892212,0.06140100955963135,0.18746823072433472,0.33936554193496704,0.26153899699747396,0.7728236697532049
full,0,21,12,7,R,M,low,0.25,-0.016668163239955902,-0.00010648369789123535,-0.041157662868499756,0.023654460906982422,-0.02660822868347168,2.5495638847351074,0.023878134787082672,0.8298416137695312,-0.01104593276977539,0.001272551715373993,-0.022005870938301086,-0.006800442934036255,0.01742696762084961,0.009156227111816406,-0.012513577938079834,-0.009288519620895386,0.010975152254104614,0.01846534013748169,0.00947919487953186,0.03776252269744873,0.043328285217285156,0.028255462646484375,0.04179102182388306,0.04272955656051636,0.03030717372894287,0.04606068134307861,0.04257148504257202,0.17942363023757935,0.3214435577392578,0.263856919403291,0.7514034959399549
full,0,22,12,7,R,M,mid,0.5,-0.01226872205734253,-0.0006637275218963623,-0.038365304470062256,0.023988962173461914,-0.028091907501220703,2.6182427406311035,0.024467110633850098,0.8756198883056641,-0.007431983947753906,0.0015365183353424072,-0.02163662016391754,-0.011294454336166382,0.01842212677001953,0.010522007942199707,-0.013623833656311035,-0.010553508996963501,0.010383814573287964,0.019502252340316772,0.011210471391677856,0.03960859775543213,0.04537308216094971,0.028652966022491455,0.04611426591873169,0.04766845703125,0.032962024211883545,0.047583162784576416,0.0544048547744751,0.18513882160186768,0.33364415168762207,0.2741738533874134,0.7684834725779581
full,0,23,12,7,R,M,high,0.8,-0.02040010690689087,-0.0020473599433898926,-0.04012419283390045,0.018370628356933594,-0.028960704803466797,2.660775661468506,0.024832189083099365,0.9035053253173828,-0.005190610885620117,0.0017045587301254272,-0.02138546109199524,-0.01367330551147461,0.01917487382888794,0.011034995317459106,-0.014017373323440552,-0.011113494634628296,0.010126620531082153,0.01991450786590576,0.012220501899719238,0.04075968265533447,0.04663330316543579,0.028930962085723877,0.048735857009887695,0.050660550594329834,0.03449440002441406,0.04825812578201294,0.06105995178222656,0.18886321783065796,0.34112244844436646,0.28969731181947017,0.7793992464337636
full,0,24,12,12,R,B,low,0.25,0.02091158926486969,0.0021050870418548584,0.0467221736907959,-0.027262210845947266,-0.027287721633911133,2.5867462158203125,0.02420976758003235,0.8519248962402344,-0.009582281112670898,0.0014004260301589966,-0.02199403941631317,-0.008171617984771729,0.01753219962120056,0.010262727737426758,-0.013038337230682373,-0.010036349296569824,0.01075097918510437,0.018566250801086426,0.010448098182678223,0.03891491889953613,0.044351041316986084,0.02869492769241333,0.04349076747894287,0.04460209608078003,0.03157699108123779,0.0467570424079895,0.04787564277648926,0.182297945022583,0.32764214277267456,0.3174955049698576,0.7628276437326552
full,0,25,12,12,R,B,mid,0.5,0.02143610268831253,0.0015275180339813232,0.04436391592025757,-0.029157280921936035,-0.028308391571044922,2.6316299438476562,0.024602532386779785,0.8850393295288086,-0.006679058074951172,0.0016095563769340515,-0.021564945578575134,-0.01121532917022705,0.01846715807914734,0.010671436786651611,-0.013800829648971558,-0.01067441701889038,0.010354757308959961,0.019404739141464233,0.01167672872543335,0.04000288248062134,0.046024322509765625,0.02889770269393921,0.04688870906829834,0.04855078458786011,0.033327698707580566,0.047589004039764404,0.05591750144958496,0.18678468465805054,0.3361268639564514,0.28815347106480427,0.7742725813132274
full,0,26,12,12,R,B,high,0.8,0.006032124161720276,-0.00042515993118286133,-0.005469679832458496,0.004911661148071289,-0.028926849365234375,2.66249418258667,0.024861209094524384,0.9047327041625977,-0.0052187442779541016,0.0017217546701431274,-0.021389305591583252,-0.01289406418800354,0.018965691328048706,0.010826408863067627,-0.013988494873046875,-0.010917991399765015,0.010170787572860718,0.019758671522140503,0.012334853410720825,0.04074829816818237,0.046964824199676514,0.029064178466796875,0.04881870746612549,0.05078977346420288,0.034388720989227295,0.04796957969665527,0.0603790283203125,0.18962228298187256,0.34139853715896606,0.30833768901313524,0.7817449245236917
full,1,0,2,2,L,T,low,0.25,0.006026566028594971,0.002665698528289795,0.01377798616886139,-0.0012743473052978516,-0.2160780429840088,21.217365264892578,0.06503048539161682,3.917621612548828,-0.07309150695800781,-0.006714962422847748,-0.07709948718547821,-0.06279847025871277,-0.03345383703708649,-0.10912758111953735,-0.09461107850074768,-0.07402300834655762,-0.03554588556289673,-0.04947155714035034,-0.04472261667251587,0.013844668865203857,0.01305323839187622,0.09799003601074219,0.13251739740371704,0.14803266525268555,0.12707918882369995,0.34449589252471924,0.4426971673965454,1.169713020324707,2.015768051147461,0.7016732391158125,1.0406829586963464
full,1,1,2,2,L,T,mid,0.5,0.011517450213432312,-0.0014600157737731934,0.02334471046924591,-0.0035359859466552734,-0.22385430335998535,23.017688751220703,0.06752564013004303,4.332873344421387,-0.07323026657104492,-0.006136946380138397,-0.08115588128566742,-0.06864917278289795,-0.03371971845626831,-0.10655972361564636,-0.08862033486366272,-0.06163763999938965,-0.03579673171043396,-0.04952448606491089,-0.036053627729415894,0.0235978364944458,0.010536253452301025,0.1211082935333252,0.15484291315078735,0.1577267050743103,0.12911176681518555,0.372672438621521,0.514043927192688,1.217566728591919,2.199521064758301,0.44847671255711546,1.04414246501516
full,1,2,2,2,L,T,high,0.8,0.009833335876464844,-0.0011472105979919434,0.020099401473999023,-0.004746079444885254,-0.2286381721496582,23.764055252075195,0.06845150887966156,4.5304718017578125,-0.08390545845031738,-0.006086520850658417,-0.08306148648262024,-0.07125039398670197,-0.03463734686374664,-0.10663112998008728,-0.08702021837234497,-0.060626864433288574,-0.03389543294906616,-0.04877269268035889,-0.03631642460823059,0.02646583318710327,0.015410959720611572,0.1268126368522644,0.16041046380996704,0.1665465235710144,0.13714545965194702,0.3985639810562134,0.5514023303985596,1.243429183959961,2.2725839614868164,0.4617335440609032,1.0291370936299078
