cohort,seed,window,n_steps,max_episode,top_occ,mid_occ,bottom_occ,TR_occ,MR_occ,BR_occ,body_state_mean,body_state_last,body_pe_mean,obs_pe_mean,alpha_mean,g_norm_mean,g_norm_last,body_u_mean,body_u_last,body_u_delta_mean,trend_abs_err,trend_pred_mean,trend_target_logged_mean,conative_loss_mean,metric_eig_entropy_mean,metric_cond_mean,metric_cond_p95,g_top_bottom_dist,g_centroid_spread
no_conative,2,last50,10000,179,0.4375,0.5341,0.0284,0.4367,0.5022,0.0268,0.5699008932232856,0.21361133456230164,9.283865239473012e-05,0.00892316613291332,0.04455843247696757,3.4215683897018434,3.3570942878723145,0.3260279338309574,-1.3032929565691718,0.004606003167970649,0.009149148976816325,0.02340808718986809,0.022942389058456747,0.0,2.857094725072396,12.849309829775187,26.15142101583062,0.3901133197744067,0.2612294513510529
no_conative,3,last50,10000,179,0.6708,0.2529,0.0763,0.5222,0.2199,0.0529,0.6435177550256252,0.9204604029655457,0.0001253216021260976,0.018864106795121915,0.05821777677685022,3.51906079287529,3.5109379291534424,0.6892844792870011,2.4486187640012584,0.007201045551052091,0.008985642146318877,0.03539118078295141,0.035235408507484654,0.0,2.8683461805740187,11.766180094078205,19.119253013787738,0.3326455930432944,0.22644338735330635
no_conative,4,last50,10000,179,0.3179,0.5321,0.15,0.308,0.4873,0.1359,0.5112779999710619,0.06822020560503006,9.031332531301733e-05,0.011438725236215396,0.0530964258491993,3.468122634100914,3.4967827796936035,0.05254672505681713,-2.6143557622360794,0.0006747422257468807,0.011166043866810409,0.00378154107806331,0.0035950028015018605,0.0,2.9112171328974807,7.822593993410935,13.75692242216033,0.4236739480139782,0.28499125326886804
no_conative,5,last50,10000,179,0.4075,0.5341,0.0584,0.4072,0.5027,0.0583,0.5587941059611737,0.264873743057251,7.47844145029356e-05,0.008170136444322998,0.0330140471637249,3.2826480764627455,3.235074996948242,0.26815593459510384,-1.020788927763973,0.003999501233781415,0.009675395186751675,0.0207794304584153,0.02007295922762809,0.0,2.8753094712878946,11.731250537808926,17.612022785785943,0.26095858264688715,0.177136653422255
no_conative,6,last50,10000,179,0.315,0.556,0.129,0.3141,0.5118,0.1031,0.4980307972174138,0.11227133125066757,9.332470836042559e-05,0.011296824592279153,0.05655522264093161,3.550012503409386,3.4626376628875732,-0.009043604338499154,-2.067747616122191,0.0010633554035196773,0.01044711804136606,0.00583025179207325,0.005669230914947265,0.0,2.8860893507068828,9.140653056034141,14.505686563493436,0.5437245018140956,0.363384135201173
no_conative,7,last50,10000,179,0.4273,0.4928,0.0799,0.4255,0.4646,0.0709,0.5516621347919106,0.8468237519264221,0.00010397748819934347,0.009096230919761,0.05323389647826553,3.2932276345968248,3.2786309719085693,0.2413189910003588,1.7099033801746617,0.0035167449771362894,0.009615341377639652,0.01803777501663426,0.017653982853484382,0.0,2.8913587154218456,10.284488790995827,18.183634975718284,0.28110903830593714,0.19784540176082033
no_conative,8,last50,10000,179,0.3634,0.5253,0.1113,0.3631,0.5004,0.0983,0.5240632143404335,0.7489975094795227,7.354299557277747e-05,0.008954910056164955,0.04359638702273369,3.3729964644908903,3.377934694290161,0.10577883606281362,1.093272795472066,0.0021455254047401226,0.009142651474786863,0.011328618627163814,0.011116944860835391,0.0,2.8722311689919553,11.272647992587434,26.589142096998806,0.29185668599291004,0.19799867991873232
no_conative,9,last50,10000,179,0.2437,0.4561,0.3002,0.2437,0.4356,0.2983,0.43875382767505944,0.5181896686553955,0.0001754026965031393,0.007815137728845001,0.04917731880098581,3.4600473636865616,3.3579158782958984,-0.3337164190077963,0.0727907565702155,-0.0027751882275662038,0.009657169823726768,-0.012909749143954832,-0.01292973243615009,0.0,2.889987602762081,9.350951461147027,15.491298501252484,0.4867003013575007,0.35754593095467185
no_conative,10,last50,10000,179,0.3134,0.5425,0.1441,0.2944,0.5169,0.1419,0.5086879997234791,0.9049559831619263,8.436312879035659e-05,0.010013110439566663,0.039690165285766126,3.421071445441246,3.452927589416504,0.025055235859912976,2.2535463934615,0.0010672868907809323,0.01081693498957583,0.0057684889087919146,0.005537387814504529,0.0,2.891589651013315,10.045440733253082,18.645471696955457,0.20546095367467687,0.1429768912793803
no_conative,11,last50,10000,179,0.2028,0.4518,0.3454,0.1997,0.4076,0.2986,0.41078024647533895,0.10761758685112,0.0001586414878451988,0.014050807528753649,0.05326526304483414,3.3919404492378233,3.3902883529663086,-0.4584109831185695,-2.115310647928006,-0.004083461801984388,0.011426884950210197,-0.019230586331686936,-0.01933062418226148,0.0,2.877475604708669,10.51724020083207,23.45979213784554,0.2911796352844776,0.20143061203658763
no_conative,12,last50,10000,179,0.767,0.2216,0.0114,0.7622,0.1947,0.0103,0.6770078520610928,0.9077538251876831,0.00012342660929992726,0.008397699371533236,0.03000293858796358,3.4155555509090423,3.379603147506714,0.8479184628424615,2.2865124871268065,0.009206703500739459,0.008540940821027168,0.046432274121372026,0.0455392739205203,0.0,2.8877165088405756,10.851036467784766,14.020142889088197,0.20288132825880723,0.14053992156644876
no_conative,13,last50,10000,179,0.3516,0.4928,0.1556,0.3513,0.4705,0.1517,0.5277267790451646,0.684276282787323,7.306067026801391e-05,0.008216161161780474,0.046039823389053346,3.3477887842178347,3.2919206619262695,0.113623882362261,0.7734943162630492,0.0014895754196417913,0.009929375979836163,0.007631161239277572,0.007577256470529237,0.0,2.888308640826117,9.146662503025526,18.48362463643916,0.36685088587057585,0.24894852203687387
no_conative,14,last50,10000,179,0.0962,0.5882,0.3156,0.0955,0.5592,0.2963,0.3970073173765093,0.7623047828674316,0.00013155803000333688,0.009710572055500234,0.03840233603194356,3.501642493367195,3.520449161529541,-0.5101357177492082,1.1653570728743796,-0.005278065739406963,0.010036491120192167,-0.025476060364220756,-0.02560417110579921,0.0,2.8503782512000946,12.925938669103704,35.95050455990029,0.3475880995190275,0.24721289313608494
