cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
full,2,random,top,211,0.05872607882624554,0.0539384207630892,0.10598224496813181,1.589634487414247,0.003284779717148198,0.005885485259560047,9.438374273180222e-05,0.7287189399744097,1.0843412565288755
full,2,shuffled,bottom,184,0.09126794297734032,0.09855285756613898,0.18875836872536203,1.563722137523734,0.004699717235306035,0.009877937967362612,0.00019383903684130294,0.43105546547018964,-0.277437441649251
full,2,shuffled,mid,205,0.12081323585859159,0.13134951718696733,0.2336371239365601,1.5377784577811637,0.002908573717605777,0.006123197151393425,0.00012639187105977303,0.5509944543605898,0.24262768813412047
full,2,shuffled,top,211,0.059369136442505355,0.0539384207630892,0.10711475878388961,1.5892673301470788,0.003667455148922889,0.006603572923707736,0.00010937160094451139,0.7287189399744097,1.0843412565288755
full,2,zero,bottom,184,0.061203375519455774,0.09855285756613898,0.12376534145163454,1.589402695712836,0.029789692054138235,0.0646382623716541,0.00560151660655443,0.43105546547018964,-0.277437441649251
full,2,zero,mid,205,0.11343947421850228,0.13134951718696733,0.22842023736093103,1.541729329853523,0.01755813892658164,0.03684594878336278,0.0030772716709889653,0.5509944543605898,0.24262768813412047
full,2,zero,top,211,0.08689865395779858,0.0539384207630892,0.15740090131900886,1.5720662313614977,0.02826936719541866,0.05156882365026745,0.004052129090251622,0.7287189399744097,1.0843412565288755
full,3,actual,bottom,200,0.10401351436972618,0.07305108482018113,0.21856504410505295,1.5462982261180878,0.0,0.0,0.0,0.3334395630285144,-0.7401515867410899
full,3,actual,mid,200,0.14287480775266886,0.13130836736410856,0.27934778600931165,1.5083964121341706,0.0,0.0,0.0,0.4342770956084132,-0.29156424806370035
full,3,actual,top,200,0.08679041881114244,0.04718238602392375,0.14995420787483454,1.5741936218738557,0.0,0.0,0.0,0.714129151403904,1.033552911318813
full,3,mean,bottom,200,0.10575785979628563,0.07305108482018113,0.2220556140691042,1.5444613778591156,0.0037376887351274492,0.00788836993277073,0.00013386650171923976,0.3334395630285144,-0.7401515867410899
full,3,mean,mid,200,0.14339425634592773,0.13130836736410856,0.28108396247029305,1.5074097329378129,0.002438330054283142,0.005266974419355392,0.00010281623075570678,0.4342770956084132,-0.29156424806370035
full,3,mean,top,200,0.08655638428404927,0.04718238602392375,0.14961536902934314,1.5741871958971023,0.004202515091747045,0.00719408892095089,0.00012038877101758772,0.714129151403904,1.033552911318813
full,3,random,bottom,200,0.10549705468118191,0.07305108482018113,0.22127836644649507,1.5447398912906647,0.005032869502902031,0.010666625499725342,0.00023264947309712625,0.3334395630285144,-0.7401515867410899
full,3,random,mid,200,0.1431694558262825,0.13130836736410856,0.2806522835791111,1.5077073621749877,0.0029204383119940756,0.006266078799962997,0.00013752877469869418,0.4342770956084132,-0.29156424806370035
full,3,random,top,200,0.08661493888124823,0.04718238602392375,0.14977508328855038,1.5740493041276933,0.005324129033833742,0.009167523719370366,0.00020103326551748068,0.714129151403904,1.033552911318813
full,3,shuffled,bottom,200,0.10504005275666714,0.07305108482018113,0.22047643169760703,1.5451918840408325,0.005896674320101738,0.012720448523759842,0.00031836535987622483,0.3334395630285144,-0.7401515867410899
full,3,shuffled,mid,200,0.14306751258671283,0.13130836736410856,0.2805810688436031,1.5076932060718535,0.0037096213176846505,0.008176840394735336,0.0002481146192258166,0.4342770956084132,-0.29156424806370035
full,3,shuffled,top,200,0.08721411038190126,0.04718238602392375,0.15081801168620587,1.5736108171939849,0.005819106623530388,0.009955102615058421,0.00025569622826424163,0.714129151403904,1.033552911318813
full,3,zero,bottom,200,0.06626403659582138,0.07305108482018113,0.13489686593413353,1.5843729764223098,0.0377494777739048,0.08366817817091941,0.009429529482731595,0.3334395630285144,-0.7401515867410899
full,3,zero,mid,200,0.12244986057281494,0.13130836736410856,0.2524644136428833,1.5248608601093292,0.027055642791092394,0.05645523250102997,0.0066767047939356415,0.4342770956084132,-0.29156424806370035
full,3,zero,top,200,0.1232175114005804,0.04718238602392375,0.21943956576287746,1.543536393046379,0.036427092589437965,0.06948535788804293,0.007527643775101751,0.714129151403904,1.033552911318813
full,4,actual,bottom,200,0.07911220928654075,0.07312581446021796,0.16890729837119578,1.5710226279497146,0.0,0.0,0.0,0.30504490587860345,-0.9459272561294927
full,4,actual,mid,200,0.12386365246027708,0.1306955422833562,0.2463331715017557,1.5299505949020387,0.0,0.0,0.0,0.5078609786182642,0.033874245271324474
full,4,actual,top,200,0.05605871345847845,0.05457418004982174,0.10070471398532391,1.5911507713794708,0.0,0.0,0.0,0.7346017147600651,1.1087583183536427
full,4,mean,bottom,200,0.08182002671062946,0.07312581446021796,0.17482659712433815,1.567901856303215,0.007338472288101912,0.016471650972962378,0.0005340978321510193,0.30504490587860345,-0.9459272561294927
full,4,mean,mid,200,0.12369482211768627,0.1306955422833562,0.24502254493534564,1.530639488697052,0.004183375649154187,0.009416607618331909,0.0003122839191746607,0.5078609786182642,0.033874245271324474
full,4,mean,top,200,0.0560789237357676,0.05457418004982174,0.10074477113783359,1.5913405424356462,0.006175738628953696,0.011119240149855613,0.00028927161387287014,0.7346017147600651,1.1087583183536427
full,4,random,bottom,200,0.08210974477231503,0.07312581446021796,0.1754064641147852,1.5674134546518326,0.00882915461435914,0.01976057767868042,0.000734002947465342,0.30504490587860345,-0.9459272561294927
full,4,random,mid,200,0.1229893160238862,0.1306955422833562,0.24351270005106926,1.5314423602819442,0.0054417096823453906,0.011892658546566964,0.0004673744461251772,0.5078609786182642,0.033874245271324474
full,4,random,top,200,0.0559952631033957,0.05457418004982174,0.10063574209809303,1.5912192893028259,0.00791934659704566,0.014316099882125854,0.00047897647004219835,0.7346017147600651,1.1087583183536427
full,4,shuffled,bottom,200,0.07987281825393439,0.07312581446021796,0.17035988278687,1.5696204048395157,0.009339978452771902,0.020975092649459837,0.0008734852828524708,0.30504490587860345,-0.9459272561294927
full,4,shuffled,mid,200,0.12314062964171171,0.1306955422833562,0.24436627887189388,1.530988107919693,0.005501396879553795,0.012219936549663545,0.0005300230096645464,0.5078609786182642,0.033874245271324474
full,4,shuffled,top,200,0.05749346583150327,0.05457418004982174,0.10332911133766175,1.5902985644340515,0.008873323490843178,0.01604538142681122,0.0006514614813568187,0.7346017147600651,1.1087583183536427
full,4,zero,bottom,200,0.07844192456454038,0.07312581446021796,0.1683895143121481,1.570834771990776,0.006954177711158991,0.015973753482103347,0.0005130458888652356,0.30504490587860345,-0.9459272561294927
full,4,zero,mid,200,0.12265144154429436,0.1306955422833562,0.24544979527592659,1.530755923986435,0.004550421126186848,0.00983864389359951,0.0003131725206549163,0.5078609786182642,0.033874245271324474
full,4,zero,top,200,0.05771494193002582,0.05457418004982174,0.10470531325787306,1.5908704316616058,0.0066028599627316,0.012167467884719372,0.00033805514336563645,0.7346017147600651,1.1087583183536427
full,5,actual,bottom,60,0.090487718830506,0.09759190194308758,0.19050478686889014,1.562987365325292,0.0,0.0,0.0,0.43724230825901034,-0.253743359691761
full,5,actual,mid,229,0.11954393136969821,0.13227332744535922,0.23711174297020424,1.53614224200686,0.0,0.0,0.0,0.5126037147367886,0.05707305303342583
full,5,actual,top,311,0.043688129633665085,0.04949405489315749,0.07881094213467318,1.596219102286066,0.0,0.0,0.0,0.7337968057183207,1.0988610349267425
full,5,mean,bottom,60,0.09145663777987162,0.09759190194308758,0.19264740298191707,1.5619556645552317,0.002466802795728048,0.005476404229799906,5.757336919790153e-05,0.43724230825901034,-0.253743359691761
full,5,mean,mid,229,0.1194634675393979,0.13227332744535922,0.23691728633043546,1.5362049986701865,0.0011575781296954924,0.002672861236672214,2.66793527880216e-05,0.5126037147367886,0.05707305303342583
full,5,mean,top,311,0.043836749910445845,0.04949405489315749,0.07906998773000631,1.5961333885070212,0.0013827605837794363,0.002493482382542834,1.7831999340873666e-05,0.7337968057183207,1.0988610349267425
full,5,random,bottom,60,0.09184752392272154,0.09759190194308758,0.19351065357526143,1.5614981651306152,0.0032413796832164127,0.007178019483884176,9.897714310985369e-05,0.43724230825901034,-0.253743359691761
full,5,random,mid,229,0.11949035775843667,0.13227332744535922,0.23691775285390787,1.5362089893182813,0.0014349718346345893,0.003290236419205062,4.2036345807325065e-05,0.5126037147367886,0.05707305303342583
full,5,random,top,311,0.04394266205776926,0.04949405489315749,0.07926845677508419,1.5960723081202368,0.001929735938548275,0.0034622734718000774,3.106631240613643e-05,0.7337968057183207,1.0988610349267425
full,5,shuffled,bottom,60,0.09128915953139465,0.09759190194308758,0.19228093549609185,1.562101141611735,0.0030834467460711798,0.006817727535963059,9.29688391503684e-05,0.43724230825901034,-0.253743359691761
full,5,shuffled,mid,229,0.11936742963684178,0.13227332744535922,0.2368033515964533,1.5363087274101623,0.0015759267498572321,0.0035885846380583585,5.3471875501929794e-05,0.5126037147367886,0.05707305303342583
full,5,shuffled,top,311,0.043848522079335914,0.04949405489315749,0.07911838032904162,1.5961047035321545,0.002061352025945087,0.0037073727062277473,3.8652751818459087e-05,0.7337968057183207,1.0988610349267425
full,5,zero,bottom,60,0.08185900499423344,0.09759190194308758,0.17104926109313964,1.57208451628685,0.008628713836272558,0.01945552577575048,0.0005433420466336732,0.43724230825901034,-0.253743359691761
full,5,zero,mid,229,0.11792945214364206,0.13227332744535922,0.2367706270197073,1.5369758574723156,0.00494155642377237,0.010026612005900087,0.0003008718250190237,0.5126037147367886,0.05707305303342583
full,5,zero,top,311,0.050445497575009365,0.04949405489315749,0.09185443792216648,1.5936940482958337,0.006763572214692352,0.013043495787493286,0.0003015241081080732,0.7337968057183207,1.0988610349267425
full,6,actual,bottom,200,0.08681725047528743,0.08383812114596367,0.18145413160324098,1.5658028322458266,0.0,0.0,0.0,0.37073580756783486,-0.5497014544550085
full,6,actual,mid,200,0.11448174070566892,0.13085863254964353,0.2193527865409851,1.5440539222955705,0.0,0.0,0.0,0.5170256590098142,0.08522422685236795
full,6,actual,top,200,0.040911322236061094,0.05203242091462016,0.07437984474003315,1.5972574740648269,0.0,0.0,0.0,0.7280823145061731,1.099260761127657
full,6,mean,bottom,200,0.08632488943636417,0.08383812114596367,0.1806611765921116,1.5664048486948012,0.002212508246302605,0.004616467654705048,3.970482763634209e-05,0.37073580756783486,-0.5497014544550085
