cohort,seed,valence_name,zone3,n,body_state,body_u,pred_UP_minus_DOWN,true_UP_minus_DOWN,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,abs_err_trend_UP,abs_err_trend_DOWN
full,2,top,TR,200.0,0.7349761906266212,1.116440822388743,0.0052371157705783,0.0005285329089493,0.0571410726010799,0.0509127707623106,0.0079191733151674,0.0187827950905193
full,3,bottom,BL,80.0,0.4670671116560697,-0.1048465328050496,0.0015316177159547,0.000940282505261,0.1089559812098741,0.0675987599316271,0.0608098953147418,0.0247080381959676
full,3,bottom,BM,200.0,0.3722818061709404,-0.5479940773713975,-0.00056012801826,0.0009938698653093,0.0999855177104473,0.0702451472699778,0.0580774584109894,0.0290023782104253
full,3,bottom,BR,200.0,0.2937247067317367,-0.9334718462112233,-0.0010826763510704,0.001069893365581,0.1057171077653765,0.0821374559169034,0.0658896276215091,0.042286649569869
full,3,mid,ML,128.0,0.4404642162844538,-0.2205529080963676,0.0049639894859865,0.0023088627842428,0.1389039074419997,0.1311345732378996,0.0394112509602564,0.0306558746669907
full,3,mid,MM,200.0,0.485378923267126,-0.0560619318158887,0.0052742153406143,0.002589738646626,0.1437843168899417,0.1329275377136662,0.0189447280904278,0.0109640182554721
full,3,mid,MR,200.0,0.421183698400855,-0.3513794604041149,0.0048970720916986,0.0023533126684799,0.1443219235539436,0.1318741322455631,0.0371040064888074,0.0271566655859351
full,3,top,TL,49.0,0.7928259129426918,1.4891032394602577,0.0012622396556698,0.0005976100500757,0.0910351793376766,0.0704480693643752,0.0337763260669854,0.0507452394053035
full,3,top,TM,200.0,0.6034797102957964,0.4737178196538267,0.0016646508872509,0.0008881123722328,0.0942925329692661,0.063576227722725,0.0249342277832329,0.0390036165248602
full,3,top,TR,200.0,0.7335414659976959,1.1353644372110567,0.0009634606540203,0.000438140266558,0.0840705015882849,0.0440452269171442,0.0282409009058028,0.0616587069490924
full,4,bottom,BL,25.0,0.3622041928768158,-0.5690748670107334,0.0051869440078735,0.0008534459255462,0.0980771479010582,0.0609991572610281,0.0546581253409385,0.0175801348686218
full,4,bottom,BM,200.0,0.3877698185294866,-0.4953471357920994,0.0050076332688331,0.0011858520613897,0.087792892511934,0.0794935826458193,0.0265641751524526,0.0173130978271365
full,4,bottom,BR,200.0,0.2981231048330665,-0.9778230910647908,0.0029751623421907,0.0009805646232057,0.0783559605851769,0.0777719313414852,0.0223964429908664,0.0182354781217873
full,4,mid,ML,101.0,0.5512163792506303,0.2214490141719306,0.0108589925388298,0.0023984206114241,0.1069220407026829,0.1296235603583142,0.013687291413103,0.0363888108715562
full,4,mid,MM,200.0,0.4816184085234999,-0.0865895769402173,0.0132666626200079,0.0025225898517999,0.1260549682006239,0.1319901600861155,0.010111138750799,0.014151354576461
full,4,mid,MR,200.0,0.5098031065613031,0.0492862261800502,0.012689796090126,0.0023622605031774,0.1235776146501302,0.130258557698745,0.0104020094929728,0.0163817531988024
full,4,top,TL,127.0,0.6476169784707347,0.6291082780998588,0.0022712903698598,0.0010740911209812,0.0555653651281604,0.0753917350971524,0.0041299368452838,0.0262443857986157
full,4,top,TM,200.0,0.6333443838357925,0.5846743397530645,0.0037300378084182,0.0008142499421198,0.0627334874123334,0.0600973192193745,0.0040102106519043,0.0172508021094836
full,4,top,TR,200.0,0.7369928511977196,1.1368971539225912,0.0018492096662521,0.0005194346894362,0.0518305042944848,0.0495202685750754,0.0075507539138197,0.0156296346290037
full,5,bottom,BL,13.0,0.39188391657976,-0.4424859997926488,0.0050769998477055,0.0015064950705974,0.0751321848768454,0.0947488090249668,0.0091267038996403,0.0180014887681374
full,5,bottom,BM,96.0,0.3723737799252073,-0.5617483269139638,0.0059909778647124,0.0013877830080677,0.0765262463440497,0.0926204898172714,0.0147295778782184,0.0178129541842887
full,5,bottom,BR,117.0,0.3904931524879912,-0.4604142976852572,0.0064149744108191,0.0014142786246941,0.0812513350676267,0.0906071364111336,0.0209983074878398,0.0250478721836693
full,5,mid,ML,117.0,0.513363199101554,0.0536903931130351,0.0122692014417077,0.0025706252339115,0.1180511633427734,0.1314814386920438,0.0075699731898613,0.0147364185725012
full,5,mid,MM,200.0,0.4929963502287864,-0.0288730822713856,0.0124853146076202,0.0026059297344721,0.1207881732657551,0.1325395802368889,0.0066815421497449,0.0109339182358235
full,5,mid,MR,200.0,0.5640649676322937,0.2952570445264744,0.0107886395603418,0.002331647914181,0.1090295075252652,0.1301533119326204,0.0089473935123533,0.0281257948651909
full,5,top,TL,94.0,0.5834739056039364,0.3455939788033958,0.0077062376002047,0.001110795404523,0.0748387441197608,0.0716802492789638,0.0097241434169576,0.0197244800052585
full,5,top,TM,200.0,0.6220159943401814,0.5571985411663123,0.0061681415140628,0.0008980550133096,0.063415308240801,0.0629625709899696,0.0089028083160519,0.0174236651393584
full,5,top,TR,200.0,0.7369097678363323,1.1286790796069066,0.0028653178364038,0.0005068058252126,0.0442359687387943,0.0491066483604399,0.0079598093219101,0.0178235056297853
