cohort,seed,t,PC1_ctrl,PC2_ctrl,PC3_ctrl,PC1_shock,PC2_shock,PC3_shock,pc3_shock_control_dist,t_rel
no_body_in_g,8,123,2.473494503120936,0.0964099771987273,0.2014786699098293,2.4527964316168878,0.0893856655227371,0.2062569173102174,0.022373707040351312,43
no_body_in_g,8,124,2.4731503510337904,0.1000999022871405,0.2008922702575064,2.451806182582777,0.0940400213098802,0.2054680381947577,0.022654653750154363,44
no_body_in_g,8,125,2.4738865397959424,0.102227333304957,0.2006278358245388,2.4521554166201387,0.0966107077379987,0.2051141741955785,0.022889198964158326,45
no_body_in_g,8,126,2.479443085115203,0.0952555852741217,0.2008229477972246,2.4580053162110715,0.0878392096707349,0.2057893180177055,0.023221657904730734,46
no_body_in_g,8,127,2.479080863251793,0.0984249808601349,0.2003393524385803,2.456998445894332,0.0919693048745121,0.2051061354597813,0.023495342711942736,47
no_body_in_g,8,128,2.482961306690695,0.0953615158233212,0.2005869128324974,2.460989187325641,0.0881752058603976,0.2055370981756644,0.023641518885365812,48
no_body_in_g,8,129,2.4825983816642414,0.0984002138322094,0.2001028875510967,2.45996420260035,0.0922462685586789,0.2048272261021017,0.023926898651317436,49
no_body_in_g,8,130,2.480029786570836,0.1048597002835878,0.1991489136596607,2.456587772123293,0.099982355142237,0.2035088795433732,0.02433774516042531,50
no_body_in_g,8,131,2.477470355769188,0.1113782607792287,0.1979762746535234,2.453222552552883,0.1077316509140306,0.2019731983564522,0.024844096349287158,51
no_body_in_g,8,132,2.478439420091961,0.1122141725412068,0.1980612952814394,2.453838254852465,0.1089502766748287,0.2019803895838465,0.02512428402002143,52
no_body_in_g,8,133,2.483821304398897,0.1042353863152915,0.198558404876967,2.4595829441713923,0.0992876379073453,0.2029429738676389,0.02512374904469031,53
no_body_in_g,8,134,2.4811407424767147,0.1104395356568411,0.1976012863295115,2.4561414663435226,0.1066598946543383,0.2016490803216138,0.025605353531905926,54
no_body_in_g,8,135,2.485017970823228,0.1074764934579626,0.1976342656873124,2.460196028559873,0.1029341661502378,0.2018668228919001,0.02558663900526882,55
no_body_in_g,8,136,2.4843895581150064,0.1103790578828728,0.1970028851842423,2.459022667575683,0.1065937751340707,0.2010860242316832,0.025970743647479925,56
no_body_in_g,8,137,2.4839448020519352,0.1129838281247081,0.1965583139861383,2.458004477018971,0.1100793020193649,0.2004514379172288,0.026391156637314877,57
no_body_in_g,8,138,2.48929050625446,0.1040690132411786,0.1974464530078191,2.463736102795824,0.0997496945754368,0.2017293920268771,0.026268376739036627,58
no_body_in_g,8,139,2.4889778389571107,0.1058613138576723,0.197222308405371,2.462851695425675,0.102466916141158,0.2013095487621463,0.0266608860583648,59
no_body_in_g,8,140,2.492939565825655,0.1010994120349409,0.1980035022535603,2.4669601316283045,0.0971668257318284,0.2022275235829137,0.02661275244007513,60
no_body_in_g,8,141,2.498025740201236,0.0931160962242784,0.1985212398892059,2.4724119141449004,0.0876415691031162,0.2031657702188794,0.026600943487549787,61
no_body_in_g,8,142,2.5030933283089114,0.0847259379168514,0.1991326399194608,2.477820799426905,0.0777974433489876,0.2041760079613422,0.026685957248609893,62
